ngram,count
"[')', 'a$', ':']",2
"['=', 'a$', 'IF']",71
"['=', 'cy', '0']",1
"['=', 'cx', ':']",4
"['*', 'zn', '=']",1
"['=', 'zn', '(']",1
"[',', 'p', '(']",1
"['=', 'zn', 'THEN']",1
"['>', 'zn', 'IF']",1
"[';', 'zn', ';']",1
"['(', 'vm', 'POKE']",1
"[';', 'wz', ';']",1
"['=', 'i', 'FOR']",91
"['>', 'wz', 'IF']",1
"[')', 'a$', '(']",14
"['*', 'wz', '+']",1
"['+', 'i', '+']",5
"['+', 'zs', '(']",4
"['*', 'zn', '+']",6
"['(', 'p', ':']",2
"['(', 'p', ',']",6
"['><', 'fr$', 'IF']",1
"['(', 'a$', ')']",11
"[':', 'a$', 'GET']",31
"['+', 'na$', '=']",1
"['=', 'na$', 'THEN']",1
"['<', 'na$', '(']",1
"['FOR', 'i', 'ps']",1
"['i', 'ps', 'POKE']",1
"[')', 'i', ',']",4
"[',', 'na$', '(']",1
"['=', 'x', ':']",24
"[')', 'x', '(']",7
"[':', 'i', 'ps']",1
"['i', 'ps', '(']",1
"[')', 'na$', '(']",1
"[':', 'na$', ';']",1
"['=', 'dz', 'TO']",1
"['=', 'zr', ':']",1
"['/', 'dl', '(']",1
"[',', 'i', '+']",25
"['+', 'kl', 'POKE']",1
"[':', 'x', ',']",5
"['+', 'i', 'ks']",1
"['i', 'ks', ':']",1
"['+', 'pl', 'POKE']",1
"[',', 'x', ':']",6
"['=', 'f', 'IF']",4
"['+', 'ts', 'POKE']",2
"[')', 'i', '8']",1
"['8', 'zn', 'PEEK']",1
"[')', 'cy', ',']",1
"[',', 'cx', '(']",2
"['FOR', 'zs', '+']",1
"['+', 'zn', '+']",1
"['+', 'ts', '(']",1
"['+', 'zs', 'POKE']",10
"[')', 'i', '+']",9
"['=', 'zn', 'IF']",3
"['+', 'a', '=']",13
"[':', 'nz', '=']",1
"['+', 'a', '(']",2
"['=', 'zn', ':']",3
"['+', 'a', '+']",2
"['=', 'ps', 'THEN']",2
"['<', 'zn', 'IF']",1
"[',', 'cy', '+']",1
"['8', 'zn', '+']",1
"[')', 'cx', '-']",2
"['PEEK', 'cy', ',']",1
"[':', 'cy', ')']",1
"['=', 'f', 'THEN']",7
"[',', 'i', 'POKE']",17
"['+', 'cx', '+']",2
"['-', 'cy', '=']",1
"['=', 'cy', ':']",2
"['=', 'cz', 'IF']",2
"[':', 'cz', ',']",1
"['+', 'cy', '(']",1
"['+', 'vm', 'POKE']",1
"['+', 'cy', '=']",1
"['f', 'cy', '>']",1
"['(', 'm', ':']",14
"['=', 'cy', 'THEN']",1
"['-', 'cx', '=']",1
"['+', 'cx', '=']",1
"['=', 'cx', '0']",1
"[':', 'i', '^']",1
"['2', 'p', '=']",1
"['=', 'p', ':']",16
"['-', 'j', ')']",1
"[')', 'j', ',']",4
"[',', 'i', '-']",6
"['=', 'j', 'FOR']",12
"['+', 'j', 'PRINT']",1
"['=', 'fr$', 'IF']",1
"['+', 'i', '(']",3
"[')', 'i', '(']",34
"['+', 'oz', '(']",3
"['+', 'kz', '(']",1
"[':', 'zs', '2047']",1
"['=', 'a$', 'TO']",1
"['+', 'i', ')']",3
"[':', 'cy', 'TO']",1
"[':', 'cy', '=']",1
"['=', 'j', 'THEN']",13
"['GOTO', 'f', 'THEN']",1
"['1', 'zz', ':']",1
"[':', 'zz', '=']",2
"['=', 'zn', 'FOR']",1
"[':', 'zn', '=']",3
"[',', 'zs', '+']",3
"['+', 'i', 'POKE']",12
"[':', 'm', 'TO']",1
"[',', 'zs', 'POKE']",1
"['PRINT#', 'pg', ',']",4
"[',', 'b$', ':']",1
"['^', 'l', ':']",1
"['+', 'i', ',']",11
"['+', 'fm', 'POKE']",1
"[':', 'j', 'READ']",1
"['=', 'm', 'THEN']",8
"['=', 'a$', 'GOTO']",2
"['=', 'ts', ':']",1
"['=', 'kz', ':']",1
"['=', 'oz', ':']",1
"['(', 'm', 'DIM']",1
"['=', 'fm', ',']",1
"['=', 'dl', 'IF']",1
"['=', 'dl', '+']",1
"['(', 'pb', '+']",1
"['IF', 'dz', '=']",1
"['GOSUB', 'dz', '9600']",1
"['+', 'zx', '*']",1
"['+', 'zy', ')']",1
"[':', 'zt', '=']",2
"['(', 'zs', '+']",1
"['+', 'z', '*']",3
"[':', 'y', '=']",17
"['^', 'dz', ':']",1
"['FOR', 'zy', '=']",1
"['^', 'i', ':']",1
"['POKE', 'bz', ',']",1
"['(', 'bz', ')']",1
"['POKE', 'bz', '+']",1
"['-', 'zt', '=']",1
"['FOR', 'i', '=']",104
"['IF', 'zt', '<']",1
"['^', 'i', 'THEN']",1
"['FOR', 'k', '=']",13
"['i$', 'i', ')']",1
"[';', 'i', '+']",1
"['+', 'j', ';']",1
"['IF', 'x', '>=']",2
"['^', 'l', 'THEN']",1
"['(', 'zp', '+']",1
"['j', 'i', ')']",1
"['+', 'k', ')']",1
"[':', 'i$', '(']",2
"[':', 'i$', '=']",2
"[':', 'zp', '=']",1
"['=', 'zs', ':']",2
"['FOR', 'j', '=']",22
"[':', 'b$', '=']",6
"['CHR$', 'pg', ',']",1
"[':', 'a', '=']",19
"['(', 'dz', '/']",2
"['^', 'j', ')']",3
"[':', 'dz', '=']",11
"['=', 'dz', '-']",1
"['-', 'a', '*']",1
"['^', 'j', ':']",4
"['=', 'a', '+']",10
"['IF', 'a', '57']",1
"['THEN', 'a', '=']",6
"['=', 'pc', ':']",6
"[':', 'p1', '=']",19
"['(', 'pc', ')']",3
