ngram,count
"['POKE', '631']",18
"['POKE', ',']",71
"['POKE', '198']",30
"['PRINT', '""{clr}{down}{down}poke44,28:poke7168,0:clr""']",1
"['PRINT', '""{down}{down}load""']",5
"['CHR$', '(']",80
"['NEW', ':']",10
"['GOSUB', 'THEN']",57
"['THEN', '13']",5
"['THEN', '""""']",25
"['RETURN', ':']",91
"['GOSUB', ':']",114
"['VAL', '+']",2
"['GOTO', ':']",219
"['THEN', '255']",1
"['NEXT', ':']",444
"['THEN', '>']",6
"['IF', ':']",180
"['POKE', '8']",2
"['PEEK', ',']",17
"['TO', '0']",74
"['POKE', ':']",773
"['POKE', '45']",1
"['POKE', '46']",1
"['POKE', '43']",1
"['POKE', '44']",1
"['THEN', '""d""']",3
"['ASC', 'IF']",4
"['THEN', '16']",4
"['GOTO', '<']",2
"['LEN', 'IF']",2
"['FOR', 'i']",120
"['MID$', '(']",42
"['ASC', '=']",3
"['TO', '1']",187
"['CHR$', 'PRINT']",6
"['PRINT', ':']",199
"['PEEK', '=']",62
"['TO', '+']",3
"['LEN', 'PRINT']",1
"['PRINT', 'THEN']",30
"['FOR', ':']",167
"['CHR$', ',']",4
"['INT', '=']",46
"['THEN', 'GOSUB']",45
"['GOSUB', '1000']",9
"['PEEK', '+']",3
"['FOR', 'zs']",1
"['PEEK', '(']",195
"['THEN', '2050']",1
"['THEN', '2020']",2
"['THEN', '""X""']",1
"['PEEK', 'cy']",1
"['THEN', '""w""']",3
"['THEN', '58']",3
"['ASC', 'AND']",2
"['TO', '=']",28
"['END', 'THEN']",4
"['THEN', '""x""']",1
"['END', '0']",1
"['THEN', '100']",4
"['FOR', 'THEN']",11
"['THEN', '""C""']",1
"['THEN', '""L""']",1
"['THEN', '""S""']",1
"['GET', '100']",1
"['GOSUB', '7000']",3
"['THEN', '""i""']",2
"['THEN', '32']",23
"['POKE', '(']",2
"['IF', '=']",40
"['THEN', '""m""']",3
"['THEN', '""q""']",2
"['THEN', '7']",13
"['THEN', '""j""']",9
"['THEN', '""k""']",4
"['GOTO', '100']",4
"['THEN', '-']",2
"['STEP', '0']",15
"['TO', '7']",19
"['NEXT', 'THEN']",2
"['THEN', '0']",91
"['THEN', '""K""']",1
"['IF', '0']",4
"['TO', '2047']",1
"['THEN', '""V""']",1
"['THEN', '""G""']",1
"['GOSUB', '9500']",1
"['THEN', '""P""']",1
"['THEN', '""N""']",1
"['PRINT', '""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}  12345678{up}""']",1
"['THEN', '1']",66
"['GOTO', 'f']",1
"['THEN', '""T""']",1
"['THEN', '""t""']",2
"['POKE', '229']",1
"['POKE', '255']",2
"['POKE', '126']",1
"['PRINT#', 'pg']",5
"['GOTO', '10080']",1
"['PRINT#', ',']",1
"['READ', ':']",34
"['TO', '5090']",1
"['CLR', ':']",14
"['GOTO', '30']",1
"['THEN', '""n""']",13
"['THEN', '""b""']",1
"['DIM', ':']",5
"['GOSUB', '9600']",1
"['PRINT#', '4']",6
"['CLOSE', '4']",3
"['RETURN', '=']",3
"['TO', '351']",1
"['IF', 'dz']",2
"['GOSUB', 'dz']",1
"['GOTO', '9520']",1
"['GOTO', '9530']",1
"['PRINT', 'CHR$']",24
"['FOR', 'zy']",1
"['TO', '21']",7
"['POKE', 'bz']",2
"['STEP', '-']",49
"['IF', 'zt']",1
"['THEN', '9560']",1
"['FOR', 'k']",14
"['PRINT#', ':']",8
"['NEXT', '14']",1
"['IF', 'x']",30
"['THEN', 'PRINT#']",4
"['FOR', 'j']",25
"['TO', '255']",11
"['PRINT#', 'TO']",1
"['TO', '3']",13
"['PRINT', '""{clr}""']",39
"['CHR$', 'pg']",1
"['DATA', ',']",65
"['?', '?']",358
"['?', ',']",172
"['?', 'cmp']",1
"['?', 'inc']",1
"['INT', '(']",105
"['IF', 'a']",18
"['THEN', 'a']",9
"['PRINT', '(']",7
"['TO', '11']",2
"['PRINT', '""{cyan}""']",3
"['GOSUB', '900']",8
"['PRINT', '""-{red}""']",2
"['ON', 'l%']",2
"['GOSUB', '800']",3
"['GOTO', '1000']",9
"['GOTO', '600']",4
"['IF', 'LEFT$']",12
"['LEFT$', '(']",26
"['THEN', '810']",2
"['VAL', '(']",10
"['THEN', 'END']",3
"['IF', 'a$']",72
"['THEN', 'pf']",2
"['THEN', '1000']",4
"['IF', 'RIGHT$']",2
"['RIGHT$', '(']",15
"['TO', 'LEN']",4
"['LEN', '(']",13
"['ASC', '(']",7
"['GOSUB', '950']",13
"['PRINT', '"" ""']",11
"['IF', 'f%']",5
"['GOTO', '1240']",4
"['PRINT', 'f2$']",3
"['PRINT', '""{green}""']",6
"['TAB(', '10']",10
"['THEN', 'p2']",5
"['IF', 'p2']",1
