ngram,count
"['131', 'POKE', '198', ',', '2', '632', ':']",1
"['PRINT', '""{down}{down}load""', 'CHR$', '(', '(', '34', '""zeichen-gen2""']",1
"['""{down}{down}load""', 'CHR$', '(', '(', '34', '""zeichen-gen2""', 'CHR$']",1
"['34', '""zeichen-gen2""', 'CHR$', '(', '34', ')', '"",""']",1
"['THEN', '13', '=', ')', 'a$', ':', '(']",1
"['0', '=', 'cx', ':', '1000', 'GOSUB', ':']",1
"['45', ',', 'p', '(', '2', ')', ':']",1
"['+', '22', '*', ')', '14', '+', 'cy']",2
"['>', 'wz', 'IF', ':', ')', 'a$', '(']",1
"['wz', 'IF', ':', ')', 'a$', '(', '255']",1
"['i', '+', 'zs', '(', 'PEEK', ',', '8']",1
"['zs', '(', 'PEEK', ',', '8', '*', 'zn']",1
"['i', '(', 'p', ':', '3', 'TO', '0']",1
"['1', '(', 'p', ',', '44', 'POKE', ':']",1
"[',', '44', 'POKE', ':', ')', ')', '(']",1
"['44', 'POKE', ':', ')', ')', '(', 'p']",1
"['POKE', ':', ')', ')', '(', 'p', ',']",1
"[':', ')', ')', '(', 'p', ',', '43']",1
"['3', '(', 'p', ',', '46', 'POKE', ':']",1
"[',', '46', 'POKE', ':', ')', '2', '(']",1
"['46', 'POKE', ':', ')', '2', '(', 'p']",1
"[':', '=', 'cx', ':', '1000', 'GOSUB', ':']",1
"['43', ',', '227', ':', 'POKE', '44', ',']",1
"[':', 'POKE', '44', ',', '19', ':', 'POKE']",1
"['i', 'ps', 'POKE', ':', ')', ')', 'i']",1
"['ps', 'POKE', ':', ')', ')', 'i', ',']",1
"['POKE', ':', ')', ')', 'i', ',', 'na$']",1
"[')', ')', 'i', ',', 'na$', '(', 'MID$']",1
"['i', ',', 'na$', '(', 'MID$', '(', 'ASC']",1
"['na$', '(', 'MID$', '(', 'ASC', '=', 'x']",1
"['ASC', '=', 'x', ':', '16', 'TO', '1']",1
"[';', ')', 'x', '(', 'CHR$', 'PRINT', ':']",1
"['(', 'CHR$', 'PRINT', ':', ')', ':', 'i']",1
"['CHR$', 'PRINT', ':', ')', ':', 'i', 'ps']",1
"['PRINT', ':', ')', ':', 'i', 'ps', '(']",1
"[':', 'i', 'ps', '(', 'PEEK', '=', 'x']",1
"['PEEK', '=', 'x', ':', '16', 'TO', '+']",1
"['THEN', '16', '>', ')', 'na$', '(', 'LEN']",1
"['>', ')', 'na$', '(', 'LEN', 'IF', ':']",1
"['(', 'LEN', 'IF', ':', 'na$', ';', '""name""']",1
"['=', 'i', 'FOR', ':', '0', '=', 'dz']",1
"['dl', '=', 'zr', ':', ')', '8', '/']",1
"['=', 'zr', ':', ')', '8', '/', 'dl']",1
"['8', '/', 'dl', '(', 'INT', '=', 'zx']",1
"['NEXT', ':', '128', ',', 'i', '+', 'pb']",1
"['+', 'kl', 'POKE', ':', 'x', ',', 'i']",1
"['POKE', ':', 'x', ',', 'i', '+', 'i']",1
"['+', 'i', 'ks', ':', 'x', ',', 'i']",1
"['ks', ':', 'x', ',', 'i', '+', 'pl']",1
"['+', 'pl', 'POKE', ':', 'POKE', ',', 'x']",1
"['+', 'ts', 'POKE', ':', ')', 'i', '8']",1
"['*', ')', '44', '(', 'PEEK', '+', ')']",1
"['(', 'PEEK', '+', ')', '43', '(', 'PEEK']",1
"['+', ')', '43', '(', 'PEEK', '=', 'a']",1
"['PEEK', '=', 'x', ':', '7', 'TO', '0']",1
"[':', ')', 'cy', ',', 'cx', '(', 'm']",1
"['zn', '+', 'ts', '(', 'PEEK', ',', 'i']",1
"['ts', '(', 'PEEK', ',', 'i', '+', '8']",1
"['+', 'zs', 'POKE', ':', ')', 'i', '+']",1
"['zs', 'POKE', ':', ')', 'i', '+', '8']",1
"['(', 'PEEK', '+', ')', '2', '+', 'a']",1
"['2', '+', 'a', '(', 'PEEK', '=', 'zn']",1
"['PEEK', '=', 'zn', ':', '256', '*', ')']",1
"[':', '256', '*', ')', '1', '+', 'a']",1
"['zn', '+', 'zs', '(', 'PEEK', ',', 'cy']",1
"['zs', '(', 'PEEK', ',', 'cy', '+', '*']",1
"['+', 'zs', 'POKE', ':', '32', '=', ')']",1
"[':', '32', '=', ')', '*', '8', '+']",1
"['7000', 'GOSUB', ':', ')', 'cx', '-', '7']",2
"['cx', '-', '7', '(', '^', '2', '-']",1
"['zn', '+', 'zs', '(', 'PEEK', 'cy', ',']",1
"['(', 'PEEK', 'cy', ',', '+', '8', '*']",1
"['+', 'zs', 'POKE', ':', 'cy', ')', 'OR']",1
"['=', ':', 'NEXT', ':', '0', ',', 'i']",1
"['NEXT', ':', '0', ',', 'i', 'POKE', ':']",1
"['THEN', '58', '<', ')', 'a$', '(', 'ASC']",1
"['<', ')', 'a$', '(', 'ASC', 'AND', '47']",1
"['AND', '47', '>', ')', 'a$', '(', 'ASC']",2
"[',', '650', 'POKE', ':', '192', ',', '36869']",1
"['=', 'a$', 'IF', ':', 'a$', 'GET', '100']",1
"['cy', '=', 'cy', ':', '1', '=', 'f']",1
"['POKE', ':', 'cz', ',', '2', '+', 'cx']",1
"['14', '+', 'cy', '(', '+', 'vm', 'POKE']",1
"['cy', '=', 'cy', ':', '1', 'IF', '=']",1
"['cx', '(', 'm', ':', '1', '=', 'f']",1
"['cx', '=', 'cx', ':', '1', '=', 'f']",2
"['i', '-', '7', '(', 'm', ':', 'i']",1
"['7', '(', 'm', ':', 'i', '^', ',']",1
"[':', 'i', '^', ',', '2', 'p', '=']",1
"['p', '=', 'p', ':', ';', '""\\""', 'PRINT']",1
"['=', 'p', ':', ';', '""\\""', 'PRINT', 'THEN']",1
"['=', ')', 'j', ',', 'i', '-', '7']",1
"['i', '-', '7', '(', 'm', ':', ';']",1
"['7', '(', 'm', ':', ';', '"" ""', 'PRINT']",1
"['zn', '+', 'zs', '(', 'PEEK', '=', '+']",1
"['POKE', ':', '19', ',', '44', 'POKE', ':']",1
"[',', '44', 'POKE', ':', '227', '45', ',']",1
"[',', '44', 'POKE', ':', ')', '0', '(']",1
"['44', 'POKE', ':', ')', '0', '(', 'p']",1
"[':', ')', '0', '(', 'p', ',', '43']",1
"['43', '+', 'i', '(', 'PEEK', '=', ')']",1
"['(', 'PEEK', '=', ')', 'i', '(', 'p']",1
"['=', ')', 'i', '(', 'p', ':', '3']",1
"['i', '(', 'p', ':', '3', 'TO', '=']",1
"['100', ':', 'NEXT', ':', ')', 'i', '+']",1
"[':', 'NEXT', ':', ')', 'i', '+', 'oz']",1
"['GOTO', ':', 'NEXT', ':', ')', 'i', '+']",1
"[':', 'NEXT', ':', ')', 'i', '+', 'kz']",1
"['i', '+', 'kz', '(', 'PEEK', ',', 'i']",1
"['kz', '(', 'PEEK', ',', 'i', '+', 'zs']",1
"['+', 'ts', 'POKE', ':', 'zs', '2047', '0']",1
"[';', '""{down}""', 'PRINT', ':', 'cy', 'TO', '0']",1
"['=', 'i', 'FOR', ':', 'cy', '=', 'j']",1
"['zz', '=', 'zn', ':', 'NEXT', ':', '8000']",1
"['zn', ':', 'NEXT', ':', '8000', 'GOSUB', ':']",1
"[':', '8000', 'GOSUB', ':', '255', 'TO', '0']",1
"['=', 'zn', 'FOR', ':', 'zn', '=', ':']",1
"['+', 'zs', 'POKE', ':', '126', ',', '230']",1
"['POKE', ':', '126', ',', '230', '+', 'zs']",1
"['+', 'zs', 'POKE', ':', '60', ',', '231']",1
"['POKE', ':', '60', ',', '231', '+', 'zs']",1
"['POKE', ':', '0', ',', '5118', 'POKE', ':']",1
"[',', '5118', 'POKE', ':', '0', ',', '5117']",1
"['i', '+', 'oz', '(', 'PEEK', ',', 'zs']",1
"['oz', '(', 'PEEK', ',', 'zs', '+', 'i']",1
"['zs', '+', '224', ',', 'zs', 'POKE', ':']",1
"[',', 'zs', 'POKE', ':', '255', ',', '226']",1
"['POKE', ':', '255', ',', '226', '+', 'zs']",1
"[':', 'PRINT#', 'pg', ',', 'b$', ':', 'NEXT']",1
"['pg', ',', 'b$', ':', 'NEXT', ':', 'NEXT']",1
"[',', '650', 'POKE', ':', '205', ',', '36869']",1
"['44', ',', '56', ',', '54', ',', '49']",1
"['56', ',', '54', ',', '49', ',', '55']",1
"['54', ',', '49', ',', '55', ',', '151']",1
"[':', 'j', 'READ', ':', '5119', 'TO', '5090']",1
"['0', ',', '0', ',', '0', ',', '138']",1
"[',', ',', '19', ',', '254', ',', '0']",1
"['CLR', ':', '86', ',', '56', 'POKE', ':']",1
"[',', '0', '52', ',', '52', ',', '151']",1
"['52', ',', '52', ',', '151', ',', '58']",1
"['52', ',', '151', ',', '58', ',', '44']",1
"['151', ',', '58', ',', '44', '49', '44']",1
"['44', '49', '44', ',', '51', ',', '52']",1
"['44', ',', '51', ',', '52', ',', '151']",1
"['51', ',', '52', ',', '151', ',', ',']",1
"['22528', '=', 'ts', ':', '34816', '=', 'kz']",1
"['34816', '=', 'kz', ':', '32768', '=', 'oz']",1
"['32768', '=', 'oz', ':', '5120', '=', 'zs']",1
"['(', 'm', 'DIM', ':', '37888', '=', 'fm']",1
"['THEN', 'GOSUB', '9600', ':', 'PRINT#', '4', ',']",1
"[':', 'PRINT#', '4', ',', 'CHR$', '(', '15']",1
"['4', ',', 'CHR$', '(', '15', ')', ':']",1
"['CHR$', '(', '15', ')', ':', 'CLOSE', '4']",1
