ngram,count
"['(', '(', '34', 'SKIP', 'CHR$', '(', '34']",1
"['=', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']",5
"['i', 'FOR', 'THEN', 'SKIP', '=', 'a$', 'IF']",3
"['IF', '=', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['p', ':', ';', 'SKIP', 'PRINT', 'THEN', '-']",1
"['i', 'FOR', 'THEN', 'SKIP', '=', 'a$', 'TO']",1
"['GOTO', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['8000', 'GOSUB', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['=', 'm', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['=', 'm', 'THEN', 'SKIP', '=', 'a$', 'GOTO']",1
"['1', ')', '=', 'SKIP', ':', 'i$', '(']",1
"['2', ')', '=', 'SKIP', ':', 'i$', '=']",1
"['pc', ':', 'PRINT', 'SKIP', ';', ':', 'GOSUB']",1
"['900', ':', 'PRINT', 'SKIP', ':', 'p1', '=']",2
"['IF', 'a$', '=', 'SKIP', 'THEN', 'pf', '=']",1
"['950', ':', 'PRINT', 'SKIP', ';', ':', 'p2']",3
"['950', ':', 'PRINT', 'SKIP', ';', 'TAB(', '10']",2
"['(', '(', 'PEEK', 'SKIP', ')', '34', 'CHR$']",1
"['=', 'ii', 'THEN', 'SKIP', '6000', '=', 'IF']",1
"['(', 'nl$', 'THEN', 'SKIP', '=', ')', 'i']",1
"['=', 'AND', ';', 'SKIP', 'INPUT', 'THEN', ')']",1
"['=', '13', 'i', 'SKIP', '=', ')', 'i']",1
"['(', 'd1', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"[':', 'pz', ';', 'SKIP', ';', 'm2', ';']",1
"[';', 'm2', ';', 'SKIP', ';', 'm1', ';']",1
"['380', '(', 'GOTO', 'SKIP', 'PRINT', ':', 'np']",1
"['600', 'GOSUB', 'THEN', 'SKIP', '=', 'a$', 'IF']",1
"['=', 'nm', 'THEN', 'SKIP', '=', 'a$', 'IF']",2
"['1', ':', 'PRINT', 'SKIP', ':', 'GOSUB', '3000']",1
"['0', 'THEN', 'PRINT', 'SKIP', ':', 'GOSUB', '4000']",1
"[':', 'SYS', '57809', 'SKIP', ',', 'd', ',']",1
"['1', 'THEN', 'PRINT', 'SKIP', ':', 'pe', '=']",1
"['IF', 'vn$', '=', 'SKIP', 'THEN', 'wa$', '=']",1
"['17', ')', ';', 'SKIP', ';', 'CHR$', '(']",1
"['17', ')', ';', 'SKIP', '(', ':', 'q$']",1
"['1', 'THEN', 'PRINT', 'SKIP', ':', 'GOTO', '15015']",1
"['1', 'THEN', 'PRINT', 'SKIP', ':', 'tt', 'tr']",1
"['PRINT', 'q$', ';', 'SKIP', ':', 'GOTO', '47005']",1
"['PRINT', 'q$', ';', 'SKIP', ':', 'h', '=']",4
"['""da ist nichts von""', ':', 'PRINT', 'SKIP', ':', 'h', '=']",1
"[',', '2', ')', 'SKIP', 'q$', '""{down}{down}{down}""', ':']",1
"['OR', 'vn$', '=', 'SKIP', 'THEN', 'ON', 'yy']",4
"['IF', 'vn$', '=', 'SKIP', 'OR', 'vn$', '=']",4
"['4', ')', '=', 'SKIP', 'AND', 'MID$', '<>']",1
"['5', ')', '=', 'SKIP', 'THEN', 'IF', 'vn$']",1
"['IF', 'vn$', '=', 'SKIP', 'THEN', 'ON', 'yy']",6
"['IF', 'vn$', '=', 'SKIP', 'THEN', 'GOSUB', '40000']",1
"['AND', 'vn$', '=', 'SKIP', 'THEN', 'da', '=']",1
"[',', ')', '=', 'SKIP', 'AND', 'MID$', '(']",1
"['vn$', '=', '=', 'SKIP', 'ph', '=', '1']",1
"['5', ')', '=', 'SKIP', 'AND', 'b1', '=']",1
"['4', ')', '=', 'SKIP', 'AND', 'MID$', '(']",3
"['<>', 'pf', 'AND', 'SKIP', '=', '=', ')']",1
"['(', 'MID$', 'AND', 'SKIP', '=', '7', ')']",1
"['=', 'pf', 'AND', 'SKIP', '=', ')', '7']",1
"['(', 'MID$', 'AND', 'SKIP', '=', ')', '4']",3
"['=', 'vn$', 'OR', 'SKIP', '=', 'vn$', 'IF']",4
"['40400', 'GOSUB', 'THEN', 'SKIP', '=', 'vn$', 'OR']",1
"['=', 'vn$', 'OR', 'SKIP', '=', 'vn$', 'h']",1
"['41000', 'GOSUB', 'THEN', 'SKIP', '=', ')', '4']",2
"['=', 'pf', 'AND', 'SKIP', '=', 'vn$', 'h']",1
"['AND', 'vn$', '=', 'SKIP', 'THEN', 'sz', '=']",1
"['40500', 'GOSUB', 'THEN', 'SKIP', '=', 'vn$', 'IF']",1
"['zi', ':', 'PRINT', 'SKIP', ':', 'hh', 'gz']",1
"['17', ')', ';', 'SKIP', ':', 'PRINT', 'q$']",1
"['PRINT', ':', 'PRINT', 'SKIP', ':', 'GOSUB', '20300']",1
"['PRINT', 'q$', ';', 'SKIP', ':', 'PRINT', '""getoetet""']",1
"['""du hast dracula ""', ':', 'PRINT', 'SKIP', ':', 'dr', '=']",1
"['AND', 'vn$', '=', 'SKIP', 'THEN', 'du', '=']",1
"['IF', 'vn$', '=', 'SKIP', 'AND', 'lz', '=']",1
"['IF', 'vn$', '=', 'SKIP', 'THEN', 'GOSUB', '40600']",1
"['(', 'MID$', 'AND', 'SKIP', '=', ')', 'vn$']",1
"['4', ')', '=', 'SKIP', 'AND', 'GOSUB', 'THEN']",1
"['AND', 'GOSUB', 'THEN', 'SKIP', '=', ')', '5']",1
"['IF', 'vn$', '=', 'SKIP', 'OR', 'vn$', '0']",1
"['AND', 'vn$', '=', 'SKIP', 'THEN', 'h', '=']",1
"['(', 'vn$', '=', 'SKIP', 'OR', 'vn$', '=']",1
"['OR', 'vn$', '=', 'SKIP', ')', 'THEN', '13000']",1
"['5', ')', '=', 'SKIP', 'THEN', 'GOSUB', '21030']",1
"[':', 'GOSUB', 'THEN', 'SKIP', '=', ')', '5']",1
"['IF', 'vn$', '=', 'SKIP', 'THEN', 'GOSUB', '40500']",2
"['gt', 'GOSUB', 'THEN', 'SKIP', '=', 'vn$', 'IF']",1
"['OR', 'vn$', '=', 'SKIP', 'OR', 'vn$', '=']",1
"['AND', 'vn$', '=', 'SKIP', 'THEN', 'db', '=']",1
"['vn$', 'MID$', 'AND', 'SKIP', '=', ')', '4']",1
"['PRINT', 'q$', ';', 'SKIP', ':', 'tr', '=']",1
"['yy', 'ON', 'THEN', 'SKIP', '=', 'vn$', '10000']",1
"['OR', 'vn$', '=', 'SKIP', 'THEN', 'GOSUB', '40200']",1
"['""n""', 'vn$', 'OR', 'SKIP', '=', 'vn$', 'IF']",1
"['4', ')', '=', 'SKIP', '=', ')', '5']",1
"[':', 'GOSUB', 'THEN', 'SKIP', '=', 'vn$', 'AND']",1
"['IF', 'vn$', '=', 'SKIP', 'AND', 'ha', '=']",1
"['IF', 'vn$', '=', 'SKIP', 'THEN', 'PRINT', '""{clr}{down}{down}das war gift""']",1
"['""trink""', 'THEN', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}du bist tot""']",1
"[',', '4', '=', 'SKIP', 'AND', 'ha', 'AND']",1
"['AND', 'ha', 'AND', 'SKIP', '=', ')', '5']",1
"['1', ')', '=', 'SKIP', 'THEN', 'a$', 'LEFT$']",1
"['g$', ':', 'PRINT', 'SKIP', ':', 'OPEN', '1']",1
"['1', ')', '+', 'SKIP', ')', ':', 'IF']",1
"['1', ')', '=', 'SKIP', 'THEN', 'n2', '=']",1
"[':', 'CLR', 'THEN', 'SKIP', '=', 'g$', 'IF']",1
"['198', 'WAIT', ':', 'SKIP', 'PRINT', ':', 'f$']",1
"['520', 'GOTO', ':', 'SKIP', '+', 'f$', ',']",1
"['198', 'WAIT', ':', 'SKIP', 'PRINT', 'THEN', '>']",1
"[')', '1', ',', 'SKIP', '+', ')', '1']",1
"['=', 's', ':', 'SKIP', 'PRINT', ':', 'n2']",1
"['280', 'GOTO', ':', 'SKIP', 'PRINT', ':', '1']",1
"['CLOSE', ':', 'c', 'SKIP', 'PRINT', 'THEN', 'n2']",1
"['IF', 'j$', '<>', 'SKIP', 'THEN', 'a$', '=']",1
"[':', 'a$', '=', 'SKIP', ':', 'FOR', 'k']",1
"['THEN', 'b$', '=', 'SKIP', ':', 'GOTO', '4140']",1
"[':', 'b$', '=', 'SKIP', ':', 'FOR', 'i']",1
"['IF', 'j$', '=', 'SKIP', 'OR', 'j$', '=']",1
"['IF', 'j$', '=', 'SKIP', 'THEN', 'i', '=']",1
"['OR', 'j$', '=', 'SKIP', 'THEN', 'b$', '=']",1
"['1', ')', '=', 'SKIP', ')', ':', 'NEXT']",1
"['IF', 'g$', '<', 'SKIP', 'OR', 'g$', '>']",1
"['1', ')', '<>', 'SKIP', 'THEN', 'NEXT', 'l$']",1
"['PRINT', 'RIGHT$', '(', 'SKIP', '+', 'STR$', '(']",1
"[':', 'a$', '+', 'SKIP', '=', 'a$', ':']",1
"['GOSUB', '950', 'PRINT', 'SKIP', ';', 'TAB(', '10']",1
"['1', ')', '=', 'SKIP', 'THEN', 'GOSUB', '800']",1
"[')', ':', 'SYS', 'SKIP', ',', 'd', ',']",1
"['34', '(', 'CHR$', 'SKIP', ')', '34', '(']",5
"['34', '(', 'CHR$', 'SKIP', 'PRINT', ':', ')']",2
"['1', ':', 'PRINT', 'SKIP', ':', 'GOSUB', '91']",1
"['0', 'THEN', 'PRINT', 'SKIP', ':', 'GOSUB', '92']",1
"['IF', 'a$', '=', 'SKIP', 'THEN', 'nm', '=']",1
"['IF', 'a$', '=', 'SKIP', 'THEN', 'np', '=']",1
"['np', ':', 'PRINT', 'SKIP', ':', 'GOTO', '48']",1
"['2', ':', 'PRINT', 'SKIP', ';', ':', 'NEXT']",1
"['PRINT', 'p$', ';', 'SKIP', ';', 'xx', '=']",1
"['IF', 'a$', '<>', 'SKIP', 'THEN', '890', 'a$']",1
"['k', ')', '+', 'SKIP', 'pn$', '(', '(']",1
"['0', 'ps', 'THEN', 'SKIP', '=', 'i$', 'IF']",1
"['-', '20', '(', 'SKIP', 'PRINT', ':', 'NEXT']",1
"['NEXT', ':', ';', 'SKIP', 'PRINT', ':', 'py']",1
"['NEXT', ':', ';', 'SKIP', 'PRINT', ':', 'pl']",1
"['-', '20', '(', 'SKIP', 'PRINT', ':', '2']",1
"['GOSUB', ':', ';', 'SKIP', ';', ')', '13']",1
"['>', 'aa', 'AND', 'SKIP', '=', ')', '1']",1
"['20', 'STR$', ';', 'SKIP', ')', 'q', '+']",1
"['(', 'STR$', ';', 'SKIP', '2', '/', ')']",1
"['IF', 'a$', '=', 'SKIP', 'OR', 'un', ')']",1
"['a$', '=', '32', 'SKIP', 'ob', ')', 'AND']",1
"['=', 'THEN', 'PRINT', 'SKIP', ':', 'PRINT', '""{down}{right}{right}stein jebrig !""']",1
"['(', 'a$', '=', 'SKIP', 'OR', 'li', ')']",1
"['IF', 'a$', '<>', 'SKIP', 'AND', 'a$', '<>']",5
"['PRINT', ':', 'PRINT', 'SKIP', ':', 'NEXT', ':']",1
"['*', '2', ')', 'SKIP', ':', 'i', 'FOR']",1
"['IF', 'a$', '=', 'SKIP', 'THEN', 'za', '=']",1
"['IF', 'a$', '=', 'SKIP', 'THEN', 'PRINT#', '4']",3
"['IF', 'f$', '=', 'SKIP', 'THEN', 'PRINT', '""programm wurde noch   nicht abgetippt!""']",1
"['IF', 'f$', '=', 'SKIP', 'THEN', 'PRINT', '""programm ist bereits  in betrieb""']",1
"['IF', 'q$', '<>', 'SKIP', 'THEN', '200', ':']",1
"[';', 'a$', ';', 'SKIP', ';', 'b$', ';']",1
"[';', 'd$', ';', 'SKIP', ';', 'e$', ';']",1
"['<>', 'a$', 'AND', 'SKIP', '<>', 'a$', 'IF']",3
"[')', '100', 'SPC(', 'SKIP', 'PRINT', ':', 'aq']",1
"['pe%', 'PRINT', 'pe$', 'SKIP', 'TO', '1', '=']",1
"['IF', ':', '=', 'SKIP', ':', ')', '37']",1
"['dm', 'IF', ':', 'SKIP', ';', ')', 'i']",1
"['INPUT', ':', ';', 'SKIP', 'i', 'PRINT', ':']",1
