name,game_id,ngram,matched_token,matched_category,line
zeichen-gen2,0,"[')', 'a$', ':']",),command-int-var,4520
zeichen-gen2,0,"['=', 'a$', 'IF']",=,command-int-var,4510
zeichen-gen2,0,"['=', 'cy', '0']",=,command-int-var,4520
zeichen-gen2,0,"['=', 'cx', ':']",=,command-int-var,4520
zeichen-gen2,0,"['*', 'zn', '=']",*,command-int-var,4030
zeichen-gen2,0,"['=', 'zn', '(']",=,command-int-var,4030
zeichen-gen2,0,"[',', 'p', '(']",",",command-int-var,2030
zeichen-gen2,0,"['=', 'zn', 'THEN']",=,command-int-var,4030
zeichen-gen2,0,"['>', 'zn', 'IF']",>,command-int-var,4030
zeichen-gen2,0,"[';', 'zn', ';']",;,command-int-var,5005
zeichen-gen2,0,"['(', 'vm', 'POKE']",(,command-int-var,7000
zeichen-gen2,0,"[';', 'wz', ';']",;,command-int-var,6005
zeichen-gen2,0,"['=', 'i', 'FOR']",=,command-int-var,4600
zeichen-gen2,0,"['>', 'wz', 'IF']",>,command-int-var,4530
zeichen-gen2,0,"[')', 'a$', '(']",),command-int-var,4530
zeichen-gen2,0,"['*', 'wz', '+']",*,command-int-var,4600
zeichen-gen2,0,"['+', 'i', '+']",+,command-int-var,4600
zeichen-gen2,0,"['+', 'zs', '(']",+,command-int-var,4600
zeichen-gen2,0,"['*', 'zn', '+']",*,command-int-var,4600
zeichen-gen2,0,"['+', 'i', '+']",+,command-int-var,4600
zeichen-gen2,0,"['(', 'p', ':']",(,command-int-var,3005
zeichen-gen2,0,"['(', 'p', ',']",(,command-int-var,2060
zeichen-gen2,0,"['(', 'p', ',']",(,command-int-var,2060
zeichen-gen2,0,"['(', 'p', ',']",(,command-int-var,2060
zeichen-gen2,0,"['(', 'p', ',']",(,command-int-var,2060
zeichen-gen2,0,"['=', 'cx', ':']",=,command-int-var,4020
zeichen-gen2,0,"['><', 'fr$', 'IF']",><,command-int-var,3016
zeichen-gen2,0,"['(', 'a$', ')']",(,command-int-var,4000
zeichen-gen2,0,"[')', 'a$', '(']",),command-int-var,4020
zeichen-gen2,0,"['=', 'a$', 'IF']",=,command-int-var,4010
zeichen-gen2,0,"[':', 'a$', 'GET']",:,command-int-var,4010
zeichen-gen2,0,"['+', 'na$', '=']",+,command-int-var,9050
zeichen-gen2,0,"['=', 'na$', 'THEN']",=,command-int-var,9050
zeichen-gen2,0,"['<', 'na$', '(']",<,command-int-var,9050
zeichen-gen2,0,"['FOR', 'i', 'ps']",FOR,command-int-var,9060
zeichen-gen2,0,"['i', 'ps', 'POKE']",i,command-int-var,9060
zeichen-gen2,0,"[')', 'i', ',']",),command-int-var,9060
zeichen-gen2,0,"[',', 'na$', '(']",",",command-int-var,9060
zeichen-gen2,0,"['=', 'x', ':']",=,command-int-var,9060
zeichen-gen2,0,"[')', 'x', '(']",),command-int-var,9040
zeichen-gen2,0,"[':', 'i', 'ps']",:,command-int-var,9040
zeichen-gen2,0,"['i', 'ps', '(']",i,command-int-var,9040
zeichen-gen2,0,"['=', 'x', ':']",=,command-int-var,9040
zeichen-gen2,0,"[')', 'na$', '(']",),command-int-var,9045
zeichen-gen2,0,"[':', 'na$', ';']",:,command-int-var,9045
zeichen-gen2,0,"['=', 'i', 'FOR']",=,command-int-var,9520
zeichen-gen2,0,"['=', 'dz', 'TO']",=,command-int-var,9520
zeichen-gen2,0,"['=', 'zr', ':']",=,command-int-var,9530
zeichen-gen2,0,"['/', 'dl', '(']",/,command-int-var,9530
zeichen-gen2,0,"[',', 'i', '+']",",",command-int-var,9520
zeichen-gen2,0,"['+', 'kl', 'POKE']",+,command-int-var,9060
zeichen-gen2,0,"[':', 'x', ',']",:,command-int-var,9060
zeichen-gen2,0,"[',', 'i', '+']",",",command-int-var,9060
zeichen-gen2,0,"['+', 'i', 'ks']",+,command-int-var,9060
zeichen-gen2,0,"['i', 'ks', ':']",i,command-int-var,9060
zeichen-gen2,0,"[':', 'x', ',']",:,command-int-var,9060
zeichen-gen2,0,"[',', 'i', '+']",",",command-int-var,9060
zeichen-gen2,0,"['+', 'pl', 'POKE']",+,command-int-var,9060
zeichen-gen2,0,"[',', 'x', ':']",",",command-int-var,9060
zeichen-gen2,0,"['=', 'i', 'FOR']",=,command-int-var,9040
zeichen-gen2,0,"['=', 'f', 'IF']",=,command-int-var,8010
zeichen-gen2,0,"[':', 'x', ',']",:,command-int-var,8000
zeichen-gen2,0,"['*', 'zn', '+']",*,command-int-var,8000
zeichen-gen2,0,"['+', 'ts', 'POKE']",+,command-int-var,8000
zeichen-gen2,0,"[')', 'i', '8']",),command-int-var,8000
zeichen-gen2,0,"['8', 'zn', 'PEEK']",8,command-int-var,8000
zeichen-gen2,0,"['=', 'x', ':']",=,command-int-var,8000
zeichen-gen2,0,"[')', 'cy', ',']",),command-int-var,7000
zeichen-gen2,0,"[',', 'cx', '(']",",",command-int-var,7000
zeichen-gen2,0,"['FOR', 'zs', '+']",FOR,command-int-var,8000
zeichen-gen2,0,"['+', 'zn', '+']",+,command-int-var,8000
zeichen-gen2,0,"['+', 'ts', '(']",+,command-int-var,8000
zeichen-gen2,0,"[',', 'i', '+']",",",command-int-var,8000
zeichen-gen2,0,"['*', 'zn', '+']",*,command-int-var,8000
zeichen-gen2,0,"['+', 'zs', 'POKE']",+,command-int-var,8000
zeichen-gen2,0,"[')', 'i', '+']",),command-int-var,8000
zeichen-gen2,0,"['=', 'zn', 'IF']",=,command-int-var,9026
zeichen-gen2,0,"['+', 'a', '=']",+,command-int-var,9025
zeichen-gen2,0,"['=', 'zn', 'IF']",=,command-int-var,9025
