name,game_id,ngram,matched_token,matched_category,line
zeichen-gen-16k,0,"['(', '(', '34', 'SKIP', 'CHR$', '(', '34']","""zeichen-gen2""",ngram-around-SL,20
zeichen-gen2,0,"['=', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']","""w""",ngram-around-SL,160
zeichen-gen2,0,"['i', 'FOR', 'THEN', 'SKIP', '=', 'a$', 'IF']","""C""",ngram-around-SL,212
zeichen-gen2,0,"['=', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']","""i""",ngram-around-SL,110
zeichen-gen2,0,"['IF', '=', 'THEN', 'SKIP', '=', 'a$', 'IF']","""m""",ngram-around-SL,140
zeichen-gen2,0,"['=', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']","""q""",ngram-around-SL,150
zeichen-gen2,0,"['=', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']","""j""",ngram-around-SL,120
zeichen-gen2,0,"['=', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']","""k""",ngram-around-SL,130
zeichen-gen2,0,"['p', ':', ';', 'SKIP', 'PRINT', 'THEN', '-']","""\""",ngram-around-SL,1030
zeichen-gen2,0,"['i', 'FOR', 'THEN', 'SKIP', '=', 'a$', 'IF']","""K""",ngram-around-SL,250
zeichen-gen2,0,"['i', 'FOR', 'THEN', 'SKIP', '=', 'a$', 'TO']","""V""",ngram-around-SL,230
zeichen-gen2,0,"['i', 'FOR', 'THEN', 'SKIP', '=', 'a$', 'IF']","""G""",ngram-around-SL,240
zeichen-gen2,0,"['GOTO', 'f', 'THEN', 'SKIP', '=', 'a$', 'IF']","""T""",ngram-around-SL,270
zeichen-gen2,0,"['8000', 'GOSUB', 'THEN', 'SKIP', '=', 'a$', 'IF']","""t""",ngram-around-SL,260
zeichen-gen2,0,"['=', 'm', 'THEN', 'SKIP', '=', 'a$', 'IF']","""k""",ngram-around-SL,26
zeichen-gen2,0,"['=', 'm', 'THEN', 'SKIP', '=', 'a$', 'GOTO']","""b""",ngram-around-SL,27
zeichen-gen2,0,"['1', ')', '=', 'SKIP', ':', 'i$', '(']","""18""",ngram-around-SL,10000
zeichen-gen2,0,"['2', ')', '=', 'SKIP', ':', 'i$', '=']","""36""",ngram-around-SL,10000
disassembler-8k,1,"['pc', ':', 'PRINT', 'SKIP', ';', ':', 'GOSUB']","""{cyan}""",ngram-around-SL,1000
disassembler-8k,1,"['900', ':', 'PRINT', 'SKIP', ':', 'p1', '=']","""-{red}""",ngram-around-SL,1000
disassembler-8k,1,"['IF', 'a$', '=', 'SKIP', 'THEN', 'pf', '=']","""lp""",ngram-around-SL,602
disassembler-8k,1,"['950', ':', 'PRINT', 'SKIP', ';', ':', 'p2']",""" """,ngram-around-SL,1300
disassembler-8k,1,"['950', ':', 'PRINT', 'SKIP', ';', 'TAB(', '10']","""{green}""",ngram-around-SL,1310
disassembler-8k,1,"['950', ':', 'PRINT', 'SKIP', ';', ':', 'p2']",""" """,ngram-around-SL,1200
disassembler-8k,1,"['950', ':', 'PRINT', 'SKIP', ';', 'TAB(', '10']","""{green}""",ngram-around-SL,1100
slalom-8k,2,"['(', '(', 'PEEK', 'SKIP', ')', '34', 'CHR$']",""",""",ngram-around-SL,1
slalom2,2,"['=', 'ii', 'THEN', 'SKIP', '6000', '=', 'IF']","""p""",ngram-around-SL,2140
slalom2,2,"['(', 'nl$', 'THEN', 'SKIP', '=', ')', 'i']","""""",ngram-around-SL,3012
slalom2,2,"['=', 'AND', ';', 'SKIP', 'INPUT', 'THEN', ')']","""name""",ngram-around-SL,8022
slalom2,2,"['=', '13', 'i', 'SKIP', '=', ')', 'i']","""""",ngram-around-SL,8022
robot-8k,3,"['(', 'd1', 'THEN', 'SKIP', '=', 'a$', 'IF']",""" """,ngram-around-SL,180
robot-8k,3,"[':', 'pz', ';', 'SKIP', ';', 'm2', ';']","""p=""",ngram-around-SL,580
robot-8k,3,"[';', 'm2', ';', 'SKIP', ';', 'm1', ';']","""s=""",ngram-around-SL,580
3d-labyrint-16k,4,"['380', '(', 'GOTO', 'SKIP', 'PRINT', ':', 'np']","""sie gehen""",ngram-around-SL,285
3d-labyrint-16k,4,"['600', 'GOSUB', 'THEN', 'SKIP', '=', 'a$', 'IF']","""m""",ngram-around-SL,247
3d-labyrint-16k,4,"['=', 'nm', 'THEN', 'SKIP', '=', 'a$', 'IF']","""r""",ngram-around-SL,320
3d-labyrint-16k,4,"['=', 'nm', 'THEN', 'SKIP', '=', 'a$', 'IF']","""l""",ngram-around-SL,340
3d-labyrint-16k,4,"['1', ':', 'PRINT', 'SKIP', ':', 'GOSUB', '3000']","""sie finden eine lampe""",ngram-around-SL,420
3d-labyrint-16k,4,"['0', 'THEN', 'PRINT', 'SKIP', ':', 'GOSUB', '4000']","""ihre luft ist verbraucht!""",ngram-around-SL,410
spukhaus-16k,5,"[':', 'SYS', '57809', 'SKIP', ',', 'd', ',']","""spukhaus2""",ngram-around-SL,10
spukhaus3,5,"['1', 'THEN', 'PRINT', 'SKIP', ':', 'pe', '=']","""du musst schlafen""",ngram-around-SL,15300
spukhaus3,5,"['IF', 'vn$', '=', 'SKIP', 'THEN', 'wa$', '=']","""warte""",ngram-around-SL,15700
spukhaus3,5,"['17', ')', ';', 'SKIP', ';', 'CHR$', '(']","""{rvs_on}{red}{left}{SHIFT-+}""",ngram-around-SL,14460
spukhaus3,5,"['17', ')', ';', 'SKIP', '(', ':', 'q$']","""{rvs_on}{red}{left}~""",ngram-around-SL,14460
spukhaus3,5,"['1', 'THEN', 'PRINT', 'SKIP', ':', 'GOTO', '15015']","""such den zettel""",ngram-around-SL,15010
spukhaus3,5,"['1', 'THEN', 'PRINT', 'SKIP', ':', 'tt', 'tr']","""du musst was trinken""",ngram-around-SL,15200
spukhaus3,5,"['PRINT', 'q$', ';', 'SKIP', ':', 'GOTO', '47005']","""{down}{down}minuten schlafen""",ngram-around-SL,47020
spukhaus3,5,"['PRINT', 'q$', ';', 'SKIP', ':', 'h', '=']","""da ist eine luke""",ngram-around-SL,21010
spukhaus3,5,"['""da ist nichts von""', ':', 'PRINT', 'SKIP', ':', 'h', '=']","""interesse""",ngram-around-SL,41000
spukhaus3,5,"['PRINT', 'q$', ';', 'SKIP', ':', 'h', '=']","""ok hast genommen""",ngram-around-SL,40700
spukhaus3,5,"[',', '2', ')', 'SKIP', 'q$', '""{down}{down}{down}""', ':']",""" uhr """,ngram-around-SL,21210
spukhaus3,5,"['OR', 'vn$', '=', 'SKIP', 'THEN', 'ON', 'yy']","""geh luke""",ngram-around-SL,8110
spukhaus3,5,"['IF', 'vn$', '=', 'SKIP', 'OR', 'vn$', '=']","""w""",ngram-around-SL,8115
spukhaus3,5,"['4', ')', '=', 'SKIP', 'AND', 'MID$', '<>']","""sieh""",ngram-around-SL,8140
spukhaus3,5,"['5', ')', '=', 'SKIP', 'THEN', 'IF', 'vn$']","""truhe""",ngram-around-SL,8140
spukhaus3,5,"['IF', 'vn$', '=', 'SKIP', 'THEN', 'ON', 'yy']","""w""",ngram-around-SL,7060
spukhaus3,5,"['IF', 'vn$', '=', 'SKIP', 'THEN', 'GOSUB', '40000']","""n""",ngram-around-SL,7070
spukhaus3,5,"['AND', 'vn$', '=', 'SKIP', 'THEN', 'da', '=']","""nimm kreuz""",ngram-around-SL,8200
spukhaus3,5,"[',', ')', '=', 'SKIP', 'AND', 'MID$', '(']","""sieh""",ngram-around-SL,8150
spukhaus3,5,"['vn$', '=', '=', 'SKIP', 'ph', '=', '1']","""nimm pflock""",ngram-around-SL,8144
spukhaus3,5,"['5', ')', '=', 'SKIP', 'AND', 'b1', '=']","""paket""",ngram-around-SL,8155
spukhaus3,5,"['4', ')', '=', 'SKIP', 'AND', 'MID$', '(']","""sieh""",ngram-around-SL,8155
spukhaus3,5,"['<>', 'pf', 'AND', 'SKIP', '=', '=', ')']","""teppich""",ngram-around-SL,6140
spukhaus3,5,"['(', 'MID$', 'AND', 'SKIP', '=', '7', ')']","""sieh""",ngram-around-SL,6140
spukhaus3,5,"['=', 'pf', 'AND', 'SKIP', '=', ')', '7']","""teppich""",ngram-around-SL,6145
spukhaus3,5,"['(', 'MID$', 'AND', 'SKIP', '=', ')', '4']","""sieh""",ngram-around-SL,6145
spukhaus3,5,"['=', 'vn$', 'OR', 'SKIP', '=', 'vn$', 'IF']","""o""",ngram-around-SL,6120
spukhaus3,5,"['40400', 'GOSUB', 'THEN', 'SKIP', '=', 'vn$', 'OR']","""n""",ngram-around-SL,6117
spukhaus3,5,"['=', 'vn$', 'OR', 'SKIP', '=', 'vn$', 'h']","""geh tuer""",ngram-around-SL,6117
spukhaus3,5,"['=', 'vn$', 'OR', 'SKIP', '=', 'vn$', 'IF']","""w""",ngram-around-SL,6130
spukhaus3,5,"['41000', 'GOSUB', 'THEN', 'SKIP', '=', ')', '4']","""bild""",ngram-around-SL,6155
spukhaus3,5,"['(', 'MID$', 'AND', 'SKIP', '=', ')', '4']","""sieh""",ngram-around-SL,6155
