token,count
",",19686
:,8673
=,6991
0,3811
1,3373
),3272
POKE,3238
(,3092
PRINT,2748
+,2631
{CTRL-U},2097
IF,2079
THEN,1933
-,1421
DATA,1340
000,1132
TO,1121
FOR,1121
GOTO,1098
NEXT,1057
2,1000
i,996
3,878
255,840
*,817
GOSUB,794
t,741
a$,734
;,688
p,649
?,631
PEEK,607
x,600
a,554
4,554
22,552
RETURN,493
126,459
b,457
8,420
y,409
5,408
32,404
7,399
l,383
REM,380
m,376
c,360
AND,355
15,354
s,350
6,307
>,303
128,288
h,284
10,282
OR,280
{CTRL-P},271
j,270
f,264
16,259
r,258
<,256
24,252
<>,250
q,249
INT,247
240,246
RND,242
v,239
d,229
129,221
20,217
60,215
127,213
21,202
k,196
STEP,191
sc,179
9,177
o,177
CHR$,175
12,174
254,162
GET,162
28,161
e,160
36878,158
198,157
z,155
098,152
u,150
vn$,149
{run_stop},149
n,149
g,148
024,148
36879,147
36,143
192,143
w,141
34,140
032,140
200,139
READ,137
066,136
56,135
100,135
TAB(,134
004,128
170,127
64,127
224,126
008,124
13,124
225,124
40,124
66,124
14,123
36876,121
50,120
"""{clr}""",119
195,117
31,117
b1,114
19,109
96,109
252,107
064,104
"""""",104
p1,103
63,102
{down},102
1000,101
36869,101
z$,100
/,100
130,99
48,99
18,93
120,92
2000,89
11,88
LEFT$,87
pc,85
160,84
124,84
{CTRL-G},84
248,84
23,82
7680,82
36877,81
r1,81
80,81
q$,81
169,80
17,79
44,78
231,78
52,78
012,76
096,76
002,76
30,76
500,76
b$,75
68,75
186,75
MID$,74
xx,72
145,72
250,72
144,72
219,72
ze,70
42,69
90,68
ll,68
62,67
36874,67
36875,67
300,66
85,65
yy,65
060,64
201,64
ti$,64
112,63
ON,63
{swlc},61
220,60
215,60
25,60
le,59
""" """,59
p2,59
f%,59
175,58
{CTRL-K},57
062,56
001,56
102,56
150,55
WAIT,55
t1,55
230,55
98,55
{CTRL-O},55
38,54
SYS,53
x1,53
SPC(,53
133,53
INPUT,52
k1,51
"""{home}""",51
b2,51
a%,50
END,50
165,50
140,50
>=,50
h1,49
056,48
82,48
191,48
29,48
036,48
""",""",48
7702,47
110,47
s1,47
122,47
5000,46
g$,46
131,46
189,46
51,45
106,45
{CTRL-A},44
251,44
"""n""",44
re,44
99,43
.,43
227,43
631,43
135,43
f1,42
zn,42
207,42
238,42
a1,42
173,41
7168,41
234,41
37,41
pu,41
tt,41
048,40
k2,40
dz,39
141,39
4000,39
sh,39
c%,39
157,38
35,38
55,37
228,37
p$,37
.5,37
l$,36
c1,36
lx,36
VAL,36
bs,36
006,36
pz,35
46,35
zs,35
400,35
72,35
x2,35
70,35
f$,35
156,35
33,35
c$,34
ab,34
RUN,34
38400,34
"""j""",34
$,33
pp,33
247,33
r2,33
NEW,33
f2,33
n1,33
pe,33
3000,32
74,32
d$,32
016,32
180,32
tc,32
233,31
30720,31
146,31
q1,31
84,30
dd,30
dc,30
j1,30
81,30
41,30
76,30
208,30
ii,29
PRINT#,29
LEN,29
223,29
26,28
197,28
CLR,28
108,28
153,28
176,28
{rvs_on},28
61,28
174,28
bc,28
78,27
pk,27
fa,27
199,27
s2,27
6000,27
pl,27
136,27
222,27
sl,27
sd,27
38422,27
57,26
4560,26
aa,26
b3,26
600,26
j3,26
183,26
37151,26
c2,26
114,26
lg,26
132,26
RIGHT$,26
232,25
49000,25
zz,25
ci,25
203,25
245,25
418,25
36865,25
j2,25
vp,25
{$0a},25
s4,25
171,24
43,24
646,24
45,24
STR$,24
007,24
DIM,24
39,24
oi,24
10000,24
RESTORE,24
<=,24
e$,24
162,24
{return},24
015,24
88,24
^,24
050,24
158,23
119,23
ma,23
bi,23
253,23
256,23
kl,23
226,23
co,23
148,22
54,22
sm,22
pm,22
a2,22
hi,22
209,22
49,22
cy,22
800,22
s3,22
=>,22
7000,21
194,21
ASC,21
{ensh},21
hs,21
27,21
mn,21
j$,21
cx,21
eh,21
190,21
143,21
58,21
np,21
py,20
137,20
nm,20
n2,20
tl,20
bb,20
210,20
632,20
FN,20
104,20
138,20
"""000000""",20
20000,20
ox,20
121,20
242,20
73,20
y1,20
47,20
fw,19
"""{down}""",19
ff,19
4096,19
53,19
jo,19
x3,19
d1,19
m2,19
1100,19
{home},19
59,19
650,19
37154,19
qq,19
dm,19
e2,19
86,18
950,18
107,18
214,18
900,18
118,18
am,18
li,18
164,18
"""{down}{down}load""",18
"""{up}""",18
OPEN,18
235,18
CLOSE,18
241,18
op,18
cb,18
236,17
a3,17
i1,17
94,17
206,17
193,17
"""sieh""",17
i$,17
4500,17
n$,17
eor,16
152,16
8000,16
168,16
lda,16
and,16
ora,16
149,16
adc,16
pe%,16
j0,16
zt,16
177,16
65,16
310,16
sbc,16
cmp,16
gg,16
057,16
239,16
dw,16
hh,16
8185,16
4370,16
009,16
ABS,16
068,16
070,16
st,16
bw,16
516,16
m1,16
"""w""",16
003,16
030,16
tr,16
tre,16
090,16
d3,16
042,16
028,16
k$,15
l2,15
116,15
205,15
184,15
93,15
{dish},15
{CTRL-F},15
161,15
ai,15
32768,15
237,14
188,14
sta,14
zi,14
t2,14
212,14
n%,14
zu,14
c5,14
"""s""",14
pg,14
sw,14
im,14
w1,14
330,14
bl,14
b4,14
430,14
uy,13
fu,13
280,13
{CTRL-L},13
bp,13
d2,13
79,13
ad,13
bu,13
x$,13
115,13
142,13
202,13
p3,12
 ,12
052,12
gb,12
40700,12
j4,12
gr,12
d6,12
ec,12
me,12
x4,12
cm,12
cp,12
078,12
6300,12
229,12
ic,12
=<,12
"""{up}{up}""",12
ta,12
249,12
rt,12
159,12
103,12
117,12
"""{clr}{down}{down}load""",12
de,12
"""1""",12
inc,12
.2,12
af,12
hg,12
37152,12
ii%,12
97,12
1200,12
151,12
4100,12
204,12
420,12
69,12
s%,12
c4,12
87,11
111,11
o$,11
673,11
172,11
77,11
125,11
320,11
d4,11
21100,11
"""geh tuer""",11
"""+""",11
rp,11
e3,11
****************,11
5120,11
"""{right}""",11
nl$,11
14000,11
ti,11
l1,11
196,10
37137,10
828,10
m$,10
lsr,10
ror,10
x0,10
550,10
{white},10
asl,10
w3,10
ld,10
ty,10
91,10
em,10
2020,10
h$,10
40200,10
"""",10
187,10
ldx,10
mf,10
ldy,10
506,10
za,10
123,10
163,10
7944,10
185,10
.1,10
t$,10
75,10
"""a                    a""",10
147,10
315,10
ba,10
ps,10
"""i@@@@@@@@@@@@@@@@@@@@i""",10
""".""",10
pt,10
rol,10
511,9
"""{rvs_on}""",9
ss,9
ww,9
hc,9
930,9
pf,9
ap,9
154,9
ge,9
"""o""",9
92,9
41000,9
"""{left}""",9
30000,9
633,9
"""d""",9
680,9
pn$,9
zy,9
3020,9
gk,9
h2,9
510,9
308,9
213,9
1500,8
tw,8
880,8
"""{rvs_off}""",8
1350,8
ol,8
di,8
vs,8
br,8
8164,8
243,8
gz,8
072,8
c1%,8
ml,8
dr,8
36866,8
vv,8
mr,8
3220,8
95,8
139,8
f2$,8
we,8
999,8
dec,8
pe$,8
3890,8
4580,8
"""Q""",8
{del},8
i2,8
031,8
063,8
na$,8
gv,8
hj,8
074,8
034,8
071,8
067,8
065,8
079,8
ce,8
101,8
520,8
041,8
ak,8
q%,8
"""k""",8
mz,8
"""{down}{down}{down}""",8
gz%,8
221,8
014,8
wm,8
105,8
073,8
"""{black}""",8
15000,8
45000,8
x%,8
y%,8
ay,8
850,8
670,8
910,8
7724,8
37888,8
970,8
bf,8
67,8
"""l""",8
"""{down}{down}""",8
700,8
g0,8
f1$,8
216,8
gt,8
1070,7
"""{home}{down}{down}{down}{down}""",7
2047,7
oz,7
"""{f1}""",7
16000,7
790,7
1090,7
560,7
370,7
bz,7
gf,7
vb,7
13000,7
LOAD,7
yr,7
un%,7
bb%,7
aa%,7
ge%,7
5500,7
s$,7
246,7
181,7
"""{clr}{white}""",7
8028,7
350,7
hb,7
ph,7
da,7
su,7
7701,7
36864,7
"""{green}""",7
q2,7
4070,7
xyz,7
ha,7
657,7
e1,7
rr,7
SGN,7
113,7
"""00""",7
.8,7
.9,7
INPUT#,7
"""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",7
vf,7
634,7
4010,7
"""oeffne tuer""",7
40500,7
ts,7
50000,7
d5,7
ks,7
440,7
40000,7
du,7
f3,7
et,6
mi,6
g1,6
8016,6
 ***************,6
lc,6
sr,6
2100,6
ac,6
fr$,6
"""  *               *""",6
ag,6
c3,6
ga,6
sty,6
stx,6
260,6
jk,6
20400,6
00,6
px,6
sq,6
ax,6
aq,6
i%,6
570,6
"""{up}{green}""",6
rz,6
25000,6
sa$,6
1130,6
ls,6
za%,6
2300,6
12000,6
tz,6
cz,6
mu,6
36881,6
dl,6
.02,6
1470,6
36867,6
cpx,6
pw,6
cd,6
{CTRL-B},6
"""{f7}""",6
360,6
nk,6
d7,6
l%,6
rm,6
33792,6
pv,6
tm,6
ms,6
580,6
7822,6
6100,6
lt,6
wz,6
we$,6
mk,6
cpy,6
v5,6
y$,5
.05,5
4556,5
"""{white}""",5
r$,5
fe,5
ok,5
m4,5
178,5
3670,5
"""{left} """,5
ke,5
sz,5
4440,5
1246,5
83,5
21200,5
"""p""",5
89,5
xu,5
"""m""",5
db,5
uv,5
2200,5
dy,5
1520,5
"""{purple} {down}{left}{CBM-G}{down}{left} """,5
"""c{right}{right}{right}k""",5
1400,5
990,5
td,5
"""0""",5
"""{purple} {down}{left}{CBM-M}{down}{left} """,5
"""{home}{down}{down}""",5
fx,5
610,5
dt,5
906,5
t%,5
8142,5
gp,5
dx,5
1640,5
8089,5
1690,5
i5,5
pi,5
ts%,5
fr,5
"""                     """,5
a1$,5
se,5
kk,5
"""b""",5
1030,5
"""a""",5
730,5
"""{rvs_on}{down}{left}{left}ltd.{white}""",5
"""{down}{down}{right}{right}{right}{right}{blue}e{right}{rvs_on}by{rvs_off}{right}mno{rvs_on}-soft""",5
ei%,5
ro%,5
3100,5
1050,5
"""{home}{down}{down}{down}{down}{down}{down}{down}{right}{right}{right}{right}{right}{right}{right}{right}{right}{yellow}fgh{down}{left}{left}{left}ijk""",5
462,5
499,5
484,5
4090,5
540,5
vm,5
sg,5
sp,5
pm%,5
lz,5
2800,5
q3,5
7878,5
v8,5
wg,5
dq,5
sw%,5
ko,5
3040,5
7729,5
166,5
134,5
mm,5
"""c""",5
620,5
"""{right}l""",5
65017,5
"""{right}{right}{down}{rvs_on}{white}taste""",5
380,5
211,5
cv,5
490,5
lm,4
410,4
7435,4
g2,4
8097,4
4330,4
50200,4
9000,4
 zeichen datas,4
7747,4
.4,4
gi,4
*****************,4
lu,4
"""h""",4
zl,4
7834,4
jy,4
7432,4
460,4
450,4
d%,4
290,4
270,4
"""{purple} {CBM-@} """,4
"""{red}{home}{down}{down}{down}{down}{down}""",4
"""{purple} {CBM-T} """,4
"""{left}**{down}{left}{left}**       Q Q Q""",4
1010,4
1140,4
y3,4
760,4
890,4
bo,4
"""{red}{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}""",4
jmp,4
bit,4
082,4
040,4
7604,4
1250,4
1260,4
pb,4
740,4
"""{SHIFT--}""",4
780,4
SQR,4
4557,4
11000,4
4280,4
217,4
.15,4
4040,4
w2,4
"""d@@@@@@@@@@@@@@@@@@@@d""",4
m3,4
oc,4
8054,4
