ngram,count
"['THEN', '33', 'm']",1
"['THEN', '7', 'l']",1
"['STEP', '5', 'll']",1
"['TO', '24', 'ad']",1
"['THEN', '890', 'a$']",1
"['NEXT', '0', 'ls']",1
"['THEN', '1', 'i']",1
"['POKE', '657', 'w']",1
"['IF', '1', 's']",1
"['GOTO', '5', 'c']",1
"['TO', '1', 'r']",1
"['STEP', '22', 't']",1
"['THEN', '20', 'k2']",1
"['IF', '4000', 'a']",1
"['TO', '7176', 'b']",1
"['TO', '1', 'f']",1
"['TO', '0', 'i']",2
"['TO', '100', 't']",1
"['THEN', '0', 'i']",1
"['THEN', '16', 'j']",1
"['TO', '5', 'bi']",1
"['IF', '1', 'j']",1
"['GOTO', '1099', 'j']",1
"['RND', '1', 't']",1
"['GOSUB', '4000', 'xx']",1
"['TO', '220', 'uy']",1
"['NEXT', '245', 'q']",1
"['THEN', '245', 'k1']",1
"['IF', '0', 'r1']",1
"['TO', '8072', 'e']",1
"['THEN', '25', 'z']",1
"['FOR', '32', 'i']",1
"['GOSUB', '4100', 'c']",1
