ngram,count
"[',', '131', 'POKE', 'SKIP', ',', '2', '632']",1
"['CHR$', '(', '(', 'SKIP', '""zeichen-gen2""', 'CHR$', '(']",1
"['""zeichen-gen2""', 'CHR$', '(', 'SKIP', ')', '"",""', ')']",1
"['4600', 'GOSUB', 'THEN', 'SKIP', '=', ')', 'a$']",1
"['=', '=', 'cy', 'SKIP', '=', 'cx', ':']",1
"['=', 'cx', ':', 'SKIP', 'GOSUB', ':', ':']",1
"[',', 'p', '(', 'SKIP', ')', ':', 'POKE']",1
"['4005', 'GOTO', ':', 'SKIP', '=', 'zn', 'THEN']",1
"['=', 'zn', 'THEN', 'SKIP', '>', 'zn', 'IF']",1
"['NEXT', ':', ')', 'SKIP', '=', 'i', 'FOR']",1
"['7', ':', 'POKE', 'SKIP', '*', 'wz', '+']",1
"['(', 'PEEK', ',', 'SKIP', '*', 'zn', '+']",1
"['(', 'p', ':', 'SKIP', 'TO', '0', ')']",1
"[':', '3', 'TO', 'SKIP', ')', '=', 'FOR']",1
"['(', 'p', ',', 'SKIP', 'POKE', ':', ')']",2
"['POKE', ':', ')', 'SKIP', '(', 'p', ',']",2
"['=', 'cx', ':', 'SKIP', 'GOSUB', ':', '0']",1
"['POKE', '43', ',', 'SKIP', ':', 'POKE', '44']",1
"['227', ':', 'POKE', 'SKIP', ',', '19', ':']",1
"['=', 'na$', 'THEN', 'SKIP', 'GOTO', '<', 'na$']",1
"['=', 'x', ':', 'SKIP', 'TO', '1', '=']",3
"['=', 'x', ':', 'SKIP', 'TO', '+', 'NEXT']",1
"['LEN', 'PRINT', 'THEN', 'SKIP', '>', ')', 'na$']",1
"['i', 'FOR', ':', 'SKIP', '=', 'dz', 'TO']",1
"['zr', ':', ')', 'SKIP', '/', 'dl', '(']",1
"['256', '*', ')', 'SKIP', '(', 'PEEK', '+']",1
"['PEEK', '+', ')', 'SKIP', '(', 'PEEK', '=']",1
"['=', 'x', ':', 'SKIP', 'TO', '0', '=']",1
"[':', '7', 'TO', 'SKIP', '=', '(', 'i']",1
"[',', 'i', '+', 'SKIP', '*', 'zn', '+']",1
"[':', '192', ',', 'SKIP', 'POKE', ':', '""{clr}""']",1
"['PEEK', '+', ')', 'SKIP', '+', 'a', '(']",1
"['=', 'zn', ':', 'SKIP', '*', ')', '1']",1
"['256', '*', ')', 'SKIP', '+', 'a', '+']",1
"['=', 'ps', 'THEN', 'SKIP', '=', 'zn', 'IF']",1
"['cy', '+', '*', 'SKIP', 'zn', '+', 'zs']",1
"['zs', 'POKE', ':', 'SKIP', '=', ')', '*']",1
"[')', 'cx', '-', 'SKIP', '(', '^', '2']",1
"['7', '(', '^', 'SKIP', '-', '255', 'AND']",1
"['^', '2', '-', 'SKIP', 'AND', ')', 'cy']",1
"['cy', ',', '+', 'SKIP', '*', 'zn', '+']",1
"['100', 'GOTO', ':', 'SKIP', 'GOSUB', ':', '0']",1
"[':', 'NEXT', ':', 'SKIP', ',', 'i', 'POKE']",2
"['4000', 'GOSUB', 'THEN', 'SKIP', '<', ')', 'a$']",1
"['(', 'ASC', 'AND', 'SKIP', '>', ')', 'a$']",2
"['END', '0', ',', 'SKIP', 'POKE', ':', '192']",1
"['650', 'POKE', ':', 'SKIP', ',', '36869', ':']",1
"['+', 'cx', '+', 'SKIP', '*', ')', '14']",2
"['=', 'cy', ':', 'SKIP', '=', 'f', 'THEN']",1
"[':', 'cz', ',', 'SKIP', '+', 'cx', '+']",1
"['22', '*', ')', 'SKIP', '+', 'cy', '(']",1
"['=', 'cy', ':', 'SKIP', 'IF', '=', 'THEN']",1
"['(', 'm', ':', 'SKIP', '=', 'f', 'THEN']",1
"['=', 'cx', ':', 'SKIP', '=', 'f', 'THEN']",2
"['i', '^', ',', 'SKIP', 'p', '=', 'p']",1
"[',', 'i', '-', 'SKIP', '(', 'm', ':']",1
"['p', 'IF', ':', 'SKIP', '-', 'STEP', '0']",1
"['1', '-', 'STEP', 'SKIP', 'TO', '7', '=']",1
"['STEP', '0', 'TO', 'SKIP', '=', 'i', 'FOR']",1
"[';', '""{left}""', ';', 'SKIP', '+', 'j', 'PRINT']",1
"[':', '19', ',', 'SKIP', 'POKE', ':', '227']",1
"['44', 'POKE', ':', 'SKIP', '45', ',', 'POKE']",1
"['NEXT', ':', ')', 'SKIP', '+', 'i', '(']",1
"['POKE', ':', 'zs', 'SKIP', '0', '=', 'i']",1
"[':', 'zs', '2047', 'SKIP', '=', 'i', 'FOR']",1
"['zs', 'POKE', ':', 'SKIP', 'TO', '0', '=']",1
"[':', '2047', 'TO', 'SKIP', '=', 'i', 'FOR']",1
"['40', 'GOTO', ':', 'SKIP', 'GOSUB', 'THEN', '""P""']",1
"['40', 'GOTO', ':', 'SKIP', 'GOSUB', 'THEN', '""N""']",1
"[':', 'cy', 'TO', 'SKIP', '=', 'i', 'FOR']",1
"['=', 'j', 'THEN', 'SKIP', '=', 'f', 'IF']",1
"['100', 'GOTO', ':', 'SKIP', 'GOSUB', 'THEN', '""t""']",1
"[':', 'NEXT', ':', 'SKIP', 'GOSUB', ':', '255']",1
"['8000', 'GOSUB', ':', 'SKIP', 'TO', '0', '=']",1
"[':', '255', 'TO', 'SKIP', '=', 'zn', 'FOR']",1
"['zs', 'POKE', ':', 'SKIP', ',', '230', '+']",1
"[':', '126', ',', 'SKIP', '+', 'zs', 'POKE']",1
"['zs', 'POKE', ':', 'SKIP', ',', '231', '+']",1
"[':', '60', ',', 'SKIP', '+', 'zs', 'POKE']",1
"[':', '0', ',', 'SKIP', 'POKE', ':', '0']",5
"['5118', 'POKE', ':', 'SKIP', ',', '5117', 'POKE']",1
"['zs', 'POKE', ':', 'SKIP', ',', '226', '+']",1
"['POKE', '126', ',', 'SKIP', '+', 'zs', 'POKE']",1
"['vm', 'POKE', ':', 'SKIP', 'TO', '0', '=']",1
"[':', '255', 'TO', 'SKIP', '=', 'i', 'FOR']",1
"[':', '86', ',', 'SKIP', 'POKE', ':', 'RESTORE']",1
"['=', 'ts', ':', 'SKIP', '=', 'kz', ':']",1
"['=', 'kz', ':', 'SKIP', '=', 'oz', ':']",1
"['m', 'DIM', ':', 'SKIP', '=', 'fm', ',']",1
"['182', 'THEN', 'GOSUB', 'SKIP', ':', 'PRINT#', '4']",1
"['9600', ':', 'PRINT#', 'SKIP', ',', 'CHR$', '(']",1
"[',', 'CHR$', '(', 'SKIP', ')', ':', 'CLOSE']",1
"[')', ':', 'CLOSE', 'SKIP', ':', 'RETURN', '=']",1
"['=', '0', 'TO', 'SKIP', ':', 'PRINT#', '4']",1
"['351', ':', 'PRINT#', 'SKIP', ',', 'CHR$', '(']",1
"['IF', 'dz', '=', 'SKIP', 'THEN', 'GOSUB', 'dz']",1
"['+', 'zx', '*', 'SKIP', '+', 'zy', ')']",1
"[':', 'y', '=', 'SKIP', '^', 'dz', ':']",1
"['FOR', 'zy', '=', 'SKIP', 'TO', '21', ':']",1
"['POKE', 'bz', '+', 'SKIP', '-', 'zt', '=']",1
"['FOR', 'i', '=', 'SKIP', 'TO', '0', 'STEP']",1
"['IF', 'zt', '<', 'SKIP', '^', 'i', 'THEN']",1
"['FOR', 'k', '=', 'SKIP', 'TO', '7', ':']",1
"['=', '0', 'TO', 'SKIP', ':', 'PRINT#', 'pg']",1
"[',', 'CHR$', '(', 'SKIP', ')', '""{SHIFT--}""', ';']",1
"['PRINT#', ':', 'NEXT', 'SKIP', ')', ';', 'CHR$']",1
"['0', 'STEP', '-', 'SKIP', ':', 'IF', 'x']",1
"['IF', 'x', '>=', 'SKIP', '^', 'l', 'THEN']",1
"['i', ')', '*', 'SKIP', '+', 'k', ')']",1
"[':', 'i$', '(', 'SKIP', ')', '=', '""18""']",1
"[':', 'i$', '(', 'SKIP', ')', '=', '""36""']",1
"['FOR', 'j', '=', 'SKIP', 'TO', '255', '4']",1
"['FOR', 'j', '=', 'SKIP', 'TO', '0', 'STEP']",2
"['=', '1', 'TO', 'SKIP', 'STEP', '-', '1']",1
"['0', 'STEP', '-', 'SKIP', ':', 'a', '=']",2
"['(', 'dz', '/', 'SKIP', '^', 'j', ')']",2
"['-', 'a', '*', 'SKIP', '^', 'j', ':']",1
"['=', 'a', '+', 'SKIP', ':', 'IF', 'a']",3
"[':', 'IF', 'a', 'SKIP', 'THEN', 'a', '=']",1
"[';', ':', 'GOSUB', 'SKIP', ':', 'PRINT', '""-{red}""']",2
"['IF', 'a', '>', 'SKIP', 'THEN', 'a', '=']",1
"['""l""', 'THEN', 'GOSUB', 'SKIP', ':', 'GOTO', '1000']",2
"['(', 'a$', ',', 'SKIP', ')', '=', '""$""']",1
"['THEN', 'pf', '=', 'SKIP', ':', 'GOTO', '1000']",1
"['=', 'pc', '*', 'SKIP', '+', 'a', ':']",1
"['=', '3', 'TO', 'SKIP', 'STEP', '-', '1']",1
"['FOR', 'i', '=', 'SKIP', 'TO', 'LEN', '(']",2
"[',', 'i', ',', 'SKIP', ')', ')', '-']",2
"[')', ')', '-', 'SKIP', ':', 'IF', 'a']",2
"['p1', ':', 'GOSUB', 'SKIP', ':', 'PRINT', '"" ""']",2
"['(', 'pc', '+', 'SKIP', ')', ':', 'dz']",3
"['p2', ':', 'GOSUB', 'SKIP', ':', 'PRINT', '"" ""']",2
"['p1', ')', '=', 'SKIP', 'THEN', 'GOSUB', '900']",2
"['9', 'THEN', 'GOSUB', 'SKIP', ':', 'GOTO', '1240']",2
"['=', 'p3', '*', 'SKIP', '+', 'p2', ':']",1
"['p2', ':', 'GOSUB', 'SKIP', ':', 'PRINT', 'f2$']",1
"['p3', ':', 'GOSUB', 'SKIP', ':', 'PRINT', '""{green}""']",1
"['""{green}""', ';', 'TAB(', 'SKIP', ')', ';', 'm$']",4
"['p1', ':', 'GOSUB', 'SKIP', ':', 'PRINT', '""{green}""']",1
"['p1', ')', '=', 'SKIP', 'THEN', 'p2', '=']",2
"['pc', '-', '(', 'SKIP', '-', 'p2', ')']",2
"['IF', 'p2', '<', 'SKIP', 'THEN', 'p2', '=']",1
"['DIM', 'm$', '(', 'SKIP', ')', ',', 'l%']",1
"[',', 'l%', '(', 'SKIP', ')', ',', 'f%']",1
"[',', 'f%', '(', 'SKIP', ')', ',', 'f1$']",1
"[',', 'f1$', '(', 'SKIP', ')', ',', 'f2$']",1
"['FOR', 'i', '=', 'SKIP', 'TO', '12', ':']",2
"['=', '0', 'TO', 'SKIP', ':', 'READ', 'f1$']",2
"['f%', 'TO', 'READ', 'SKIP', ':', 'READ', 'm$']",1
"['FOR', 'i', '=', 'SKIP', 'TO', '255', ':']",3
"['=', '0', 'TO', 'SKIP', ':', 'READ', 'l%']",2
"['PEEK', '"",""', ')', 'SKIP', 'CHR$', 'PRINT', ')']",1
"['NEW', ':', '2', 'SKIP', 'POKE', ':', ',']",1
"[':', ',', ',', 'SKIP', 'POKE', ':', '13']",1
"['632', 'POKE', ':', 'SKIP', ',', '631', '131']",1
"[':', 'ap', '=', 'SKIP', ':', 'RETURN', 'ii']",1
"[':', ')', ')', 'SKIP', ',', 'i', '(']",1
"['pp', 'STR$', ',', 'SKIP', 'PRINT#', ':', ')']",1
"[':', '13', 'TO', 'SKIP', '=', 'i', 'FOR']",1
"['36878', 'POKE', ':', 'SKIP', ',', '36875', '15']",1
"[':', 'POKE', ',', 'SKIP', 'POKE', ':', 'j']",1
"['j', 'NEXT', ':', 'SKIP', 'TO', '1', '=']",1
"[':', '100', 'TO', 'SKIP', '=', 'j', 'FOR']",1
"[',', 'POKE', ':', 'SKIP', '-', 'STEP', '240']",1
"['i', 'NEXT', ':', 'SKIP', ',', '36876', 'POKE']",1
"[')', 'll', '-', 'SKIP', ',', ')', ')']",1
"['i', 'IF', ':', 'SKIP', '-', 'i', '1']",1
"['INPUT', 'THEN', ')', 'SKIP', '=', '13', 'i']",1
"[')', '60', '=', 'SKIP', 'i', '""""', '=']",1
"['(', 'STR$', ',', 'SKIP', 'PRINT#', ':', '(']",1
"['1', 'INPUT#', ':', 'SKIP', 'TO', '1', '=']",1
"[':', '60', 'TO', 'SKIP', '=', 'i', 'FOR']",1
"['WAIT', 'i', 'THEN', 'SKIP', '/', 'i', '(']",1
"['VAL', '=', ')', 'SKIP', ',', ')', 'i']",1
"['VAL', '=', ')', 'SKIP', ',', 'i', '1']",1
"['=', 'sl', ':', 'SKIP', '=', 'm', 'THEN']",1
"['r1', 'OR', ':', 'SKIP', ',', '36875', 'POKE']",1
"[':', '200', ',', 'SKIP', 'POKE', ':', 'fr']",1
"['THEN', 'py', '-', 'SKIP', '+', 'r1', '>=']",1
"['=', 'sl', ':', 'SKIP', '-', 'm', '=']",1
"['=', 'm', 'THEN', 'SKIP', 'm', '=', '0']",1
"['=', 'sl', ':', 'SKIP', '+', 'm', 'm']",1
"['m', '=', 'THEN', 'SKIP', '=', 't', 'IF']",1
"[')', '1', '+', 'SKIP', '*', ')', '1']",2
"['16', '*', ')', 'SKIP', '(', 'RND', '(']",4
"['r2', 'r1', ':', 'SKIP', ',', '36878', 'POKE']",1
"['py', 'THEN', '/', 'SKIP', 'py', 'IF', ':']",1
"['r1', ':', ')', 'SKIP', '(', '$', 'st']",1
"['st', ',', ')', 'SKIP', '(', 'nl$', ',']",1
"['""{SHIFT-@}   L""', '=', ')', 'SKIP', '(', '$', 'st']",1
"['y', 'READ', ':', 'SKIP', 'TO', '0', '=']",1
"[':', '7', 'TO', 'SKIP', '=', 'j', 'FOR']",1
"[')', '2', ',', 'SKIP', '(', 'pp', 'DIM']",1
"['=', 'r2', ':', 'SKIP', '-', '=', ':']",1
"[',', 'm', '+', 'SKIP', 'POKE', ':', 'sl']",1
"['=', 's2', ':', 'SKIP', '=', 's1', ':']",1
"[',', 'j', '+', 'SKIP', 'POKE', '+', ',']",1
"['=', 'k3', ':', 'SKIP', '=', 'k2', ':']",1
"['=', 'k2', ':', 'SKIP', '=', 'k1', ':']",2
"[',', 'j', 'j', 'SKIP', 'POKE', 'k3', 'STEP']",1
"['POKE', 'b1', '+', 'SKIP', ',', '96', ':']",5
"['+', '45', ',', 'SKIP', ':', 'POKE', 'b2']",1
"['FOR', 'i', '=', 'SKIP', 'TO', '5000', ':']",1
"['=', '1', 'TO', 'SKIP', ':', 'NEXT', 'i']",1
"['d1', ',', ')', 'SKIP', '(', 'c1%', ',']",1
"['c1%', ',', ')', 'SKIP', '6', 'c%', ',']",1
"[',', ')', '1', 'SKIP', 'c%', ',', ')']",1
"['c%', ',', ')', 'SKIP', '(', '$', 'st']",1
"['j', 'FOR', ':', 'SKIP', 'TO', '1', '=']",1
"[':', '2', 'TO', 'SKIP', '=', 'i', 'FOR']",1
"['72', '=', ')', 'SKIP', '(', 'c1%', ':']",1
"['(', 'c1%', ':', 'SKIP', '=', ')', '1']",2
"['66', '=', ')', 'SKIP', '(', 'c1%', ':']",1
