ngram,count
"['13', '=', ')', 'SKIP', ':', '(', 'IF']",1
"['0', '=', '=', 'SKIP', '0', '=', 'cx']",1
"['cy', '0', '=', 'SKIP', ':', '1000', 'GOSUB']",1
"['+', '10', '*', 'SKIP', '=', 'zn', '(']",1
"[':', '45', ',', 'SKIP', '(', '2', ')']",1
"[':', '0', '=', 'SKIP', 'THEN', '255', '>']",1
"['POKE', '8', '*', 'SKIP', '+', 'i', '+']",1
"['*', 'wz', '+', 'SKIP', '+', 'zs', '(']",1
"['+', 'i', '+', 'SKIP', '(', 'PEEK', ',']",1
"[',', '8', '*', 'SKIP', '+', 'i', '+']",1
"[')', ')', '(', 'SKIP', ',', '43', 'POKE']",1
"[')', '3', '(', 'SKIP', ',', '46', 'POKE']",1
"['THEN', '""""', '=', 'SKIP', 'IF', ':', 'a$']",6
"[':', '"" ""', '+', 'SKIP', '=', 'na$', 'THEN']",1
"['+', 'na$', '=', 'SKIP', 'THEN', '16', 'GOTO']",1
"['16', 'GOTO', '<', 'SKIP', '(', 'LEN', 'IF']",1
"[':', ')', ')', 'SKIP', ',', 'na$', '(']",1
"[')', 'i', ',', 'SKIP', '(', 'MID$', '(']",1
"['(', 'ASC', '=', 'SKIP', ':', '16', 'TO']",1
"[':', ')', ':', 'SKIP', 'ps', '(', 'PEEK']",1
"[')', ':', 'i', 'SKIP', '(', 'PEEK', '=']",1
"['(', 'PEEK', '=', 'SKIP', ':', '16', 'TO']",1
"['16', '>', ')', 'SKIP', '(', 'LEN', 'IF']",1
"['LEN', 'IF', ':', 'SKIP', ';', '""name""', 'INPUT']",1
"[')', '8', '/', 'SKIP', '(', 'INT', '=']",1
"['kl', 'POKE', ':', 'SKIP', ',', 'i', '+']",1
"[':', 'x', ',', 'SKIP', '+', 'i', 'ks']",1
"[',', 'i', '+', 'SKIP', 'ks', ':', 'x']",1
"['i', '+', 'i', 'SKIP', ':', 'x', ',']",1
"['i', 'ks', ':', 'SKIP', ',', 'i', '+']",1
"[':', 'x', ',', 'SKIP', '+', 'pl', 'POKE']",1
"[',', 'i', '+', 'SKIP', 'POKE', ':', 'POKE']",1
"['*', 'zn', '+', 'SKIP', 'POKE', ':', ')']",2
"['zn', 'PEEK', '=', 'SKIP', ':', '7', 'TO']",1
"['RETURN', ':', ')', 'SKIP', ',', 'cx', '(']",1
"['FOR', 'zs', '+', 'SKIP', '+', 'ts', '(']",1
"['+', 'zn', '+', 'SKIP', '(', 'PEEK', ',']",1
"['(', 'PEEK', ',', 'SKIP', '+', '8', '*']",1
"['+', '8', '*', 'SKIP', '+', 'zs', 'POKE']",2
"['POKE', ':', ')', 'SKIP', '+', '8', '*']",1
"[')', '2', '+', 'SKIP', '(', 'PEEK', '=']",1
"['(', 'PEEK', '=', 'SKIP', ':', '256', '*']",1
"['+', 'a', '=', 'SKIP', 'THEN', '2020', '=']",1
"['(', 'PEEK', ',', 'SKIP', '+', '*', '8']",1
"['+', '*', '8', 'SKIP', '+', 'zs', 'POKE']",1
"['8', 'zn', '+', 'SKIP', 'POKE', ':', '32']",1
"['GOSUB', ':', ')', 'SKIP', '-', '7', '(']",2
"['+', '8', '*', 'SKIP', '+', 'zs', '(']",1
"['*', 'zn', '+', 'SKIP', '(', 'PEEK', 'cy']",1
"['zs', '(', 'PEEK', 'SKIP', ',', '+', '8']",1
"['*', 'zn', '+', 'SKIP', 'POKE', ':', 'cy']",1
"['zs', 'POKE', ':', 'SKIP', ')', 'OR', '2']",1
"[':', '1', '=', 'SKIP', 'THEN', '""w""', '=']",1
"[':', '0', ',', 'SKIP', 'POKE', ':', 'f']",1
"['58', '<', ')', 'SKIP', '(', 'ASC', 'AND']",1
"['47', '>', ')', 'SKIP', '(', 'ASC', 'IF']",2
"['6', '2', '+', 'SKIP', '+', '22', '*']",1
"[':', '1', '-', 'SKIP', '=', 'cy', ':']",1
"['-', 'cy', '=', 'SKIP', ':', '1', '=']",1
"[':', '1', '=', 'SKIP', 'THEN', '""i""', '=']",2
"['fm', 'POKE', ':', 'SKIP', ',', '2', '+']",1
"[',', '2', '+', 'SKIP', '+', '22', '*']",1
"[')', '14', '+', 'SKIP', '(', '+', 'vm']",1
