name,game_id,ngram,matched_token,matched_category,line
zeichen-gen-16k,0,"[',', '131', 'POKE', 'SKIP', ',', '2', '632']",198,ngram-around-NI,30
zeichen-gen-16k,0,"['CHR$', '(', '(', 'SKIP', '""zeichen-gen2""', 'CHR$', '(']",34,ngram-around-NI,20
zeichen-gen-16k,0,"['""zeichen-gen2""', 'CHR$', '(', 'SKIP', ')', '"",""', ')']",34,ngram-around-NI,20
zeichen-gen2,0,"['4600', 'GOSUB', 'THEN', 'SKIP', '=', ')', 'a$']",13,ngram-around-NI,4520
zeichen-gen2,0,"['=', '=', 'cy', 'SKIP', '=', 'cx', ':']",0,ngram-around-NI,4520
zeichen-gen2,0,"['=', 'cx', ':', 'SKIP', 'GOSUB', ':', ':']",1000,ngram-around-NI,4520
zeichen-gen2,0,"[',', 'p', '(', 'SKIP', ')', ':', 'POKE']",2,ngram-around-NI,2030
zeichen-gen2,0,"['4005', 'GOTO', ':', 'SKIP', '=', 'zn', 'THEN']",0,ngram-around-NI,4030
zeichen-gen2,0,"['=', 'zn', 'THEN', 'SKIP', '>', 'zn', 'IF']",255,ngram-around-NI,4030
zeichen-gen2,0,"['NEXT', ':', ')', 'SKIP', '=', 'i', 'FOR']",0,ngram-around-NI,4600
zeichen-gen2,0,"['7', ':', 'POKE', 'SKIP', '*', 'wz', '+']",8,ngram-around-NI,4600
zeichen-gen2,0,"['(', 'PEEK', ',', 'SKIP', '*', 'zn', '+']",8,ngram-around-NI,4600
zeichen-gen2,0,"['(', 'p', ':', 'SKIP', 'TO', '0', ')']",3,ngram-around-NI,3005
zeichen-gen2,0,"[':', '3', 'TO', 'SKIP', ')', '=', 'FOR']",0,ngram-around-NI,3005
zeichen-gen2,0,"['(', 'p', ',', 'SKIP', 'POKE', ':', ')']",44,ngram-around-NI,2060
zeichen-gen2,0,"['(', 'p', ',', 'SKIP', 'POKE', ':', ')']",46,ngram-around-NI,2060
zeichen-gen2,0,"['POKE', ':', ')', 'SKIP', '(', 'p', ',']",2,ngram-around-NI,2060
zeichen-gen2,0,"['=', 'cx', ':', 'SKIP', 'GOSUB', ':', '0']",1000,ngram-around-NI,4020
zeichen-gen2,0,"['POKE', '43', ',', 'SKIP', ':', 'POKE', '44']",227,ngram-around-NI,2049
zeichen-gen2,0,"['227', ':', 'POKE', 'SKIP', ',', '19', ':']",44,ngram-around-NI,2049
zeichen-gen2,0,"['=', 'na$', 'THEN', 'SKIP', 'GOTO', '<', 'na$']",16,ngram-around-NI,9050
zeichen-gen2,0,"['=', 'x', ':', 'SKIP', 'TO', '1', '=']",16,ngram-around-NI,9060
zeichen-gen2,0,"['=', 'x', ':', 'SKIP', 'TO', '+', 'NEXT']",16,ngram-around-NI,9040
zeichen-gen2,0,"['LEN', 'PRINT', 'THEN', 'SKIP', '>', ')', 'na$']",16,ngram-around-NI,9045
zeichen-gen2,0,"['i', 'FOR', ':', 'SKIP', '=', 'dz', 'TO']",0,ngram-around-NI,9520
zeichen-gen2,0,"['zr', ':', ')', 'SKIP', '/', 'dl', '(']",8,ngram-around-NI,9530
zeichen-gen2,0,"['256', '*', ')', 'SKIP', '(', 'PEEK', '+']",44,ngram-around-NI,9000
zeichen-gen2,0,"['PEEK', '+', ')', 'SKIP', '(', 'PEEK', '=']",43,ngram-around-NI,9000
zeichen-gen2,0,"['=', 'x', ':', 'SKIP', 'TO', '0', '=']",7,ngram-around-NI,8000
zeichen-gen2,0,"[':', '7', 'TO', 'SKIP', '=', '(', 'i']",0,ngram-around-NI,8000
zeichen-gen2,0,"[',', 'i', '+', 'SKIP', '*', 'zn', '+']",8,ngram-around-NI,8000
zeichen-gen2,0,"[':', '192', ',', 'SKIP', 'POKE', ':', '""{clr}""']",36869,ngram-around-NI,9040
zeichen-gen2,0,"['PEEK', '+', ')', 'SKIP', '+', 'a', '(']",2,ngram-around-NI,9010
zeichen-gen2,0,"['=', 'zn', ':', 'SKIP', '*', ')', '1']",256,ngram-around-NI,9010
zeichen-gen2,0,"['256', '*', ')', 'SKIP', '+', 'a', '+']",1,ngram-around-NI,9010
zeichen-gen2,0,"['=', 'ps', 'THEN', 'SKIP', '=', 'zn', 'IF']",2020,ngram-around-NI,9020
zeichen-gen2,0,"['cy', '+', '*', 'SKIP', 'zn', '+', 'zs']",8,ngram-around-NI,160
zeichen-gen2,0,"['zs', 'POKE', ':', 'SKIP', '=', ')', '*']",32,ngram-around-NI,160
zeichen-gen2,0,"[')', 'cx', '-', 'SKIP', '(', '^', '2']",7,ngram-around-NI,160
zeichen-gen2,0,"['7', '(', '^', 'SKIP', '-', '255', 'AND']",2,ngram-around-NI,160
zeichen-gen2,0,"['^', '2', '-', 'SKIP', 'AND', ')', 'cy']",255,ngram-around-NI,160
zeichen-gen2,0,"['cy', ',', '+', 'SKIP', '*', 'zn', '+']",8,ngram-around-NI,150
zeichen-gen2,0,"['100', 'GOTO', ':', 'SKIP', 'GOSUB', ':', '0']",1000,ngram-around-NI,212
zeichen-gen2,0,"[':', 'NEXT', ':', 'SKIP', ',', 'i', 'POKE']",0,ngram-around-NI,212
zeichen-gen2,0,"['4000', 'GOSUB', 'THEN', 'SKIP', '<', ')', 'a$']",58,ngram-around-NI,220
zeichen-gen2,0,"['(', 'ASC', 'AND', 'SKIP', '>', ')', 'a$']",47,ngram-around-NI,220
zeichen-gen2,0,"['END', '0', ',', 'SKIP', 'POKE', ':', '192']",650,ngram-around-NI,170
zeichen-gen2,0,"['650', 'POKE', ':', 'SKIP', ',', '36869', ':']",192,ngram-around-NI,170
zeichen-gen2,0,"['+', 'cx', '+', 'SKIP', '*', ')', '14']",22,ngram-around-NI,103
zeichen-gen2,0,"['=', 'cy', ':', 'SKIP', '=', 'f', 'THEN']",1,ngram-around-NI,110
zeichen-gen2,0,"[':', 'cz', ',', 'SKIP', '+', 'cx', '+']",2,ngram-around-NI,103
zeichen-gen2,0,"['+', 'cx', '+', 'SKIP', '*', ')', '14']",22,ngram-around-NI,103
zeichen-gen2,0,"['22', '*', ')', 'SKIP', '+', 'cy', '(']",14,ngram-around-NI,103
zeichen-gen2,0,"['=', 'cy', ':', 'SKIP', 'IF', '=', 'THEN']",1,ngram-around-NI,140
zeichen-gen2,0,"['(', 'm', ':', 'SKIP', '=', 'f', 'THEN']",1,ngram-around-NI,150
zeichen-gen2,0,"['=', 'cx', ':', 'SKIP', '=', 'f', 'THEN']",1,ngram-around-NI,120
zeichen-gen2,0,"['=', 'cx', ':', 'SKIP', '=', 'f', 'THEN']",1,ngram-around-NI,130
zeichen-gen2,0,"['i', '^', ',', 'SKIP', 'p', '=', 'p']",2,ngram-around-NI,1030
zeichen-gen2,0,"[',', 'i', '-', 'SKIP', '(', 'm', ':']",7,ngram-around-NI,1040
zeichen-gen2,0,"['p', 'IF', ':', 'SKIP', '-', 'STEP', '0']",1,ngram-around-NI,1030
zeichen-gen2,0,"['1', '-', 'STEP', 'SKIP', 'TO', '7', '=']",0,ngram-around-NI,1030
zeichen-gen2,0,"['STEP', '0', 'TO', 'SKIP', '=', 'i', 'FOR']",7,ngram-around-NI,1030
zeichen-gen2,0,"[';', '""{left}""', ';', 'SKIP', '+', 'j', 'PRINT']",1,ngram-around-NI,1020
zeichen-gen2,0,"[':', '19', ',', 'SKIP', 'POKE', ':', '227']",44,ngram-around-NI,2019
zeichen-gen2,0,"['44', 'POKE', ':', 'SKIP', '45', ',', 'POKE']",227,ngram-around-NI,2019
zeichen-gen2,0,"['POKE', ':', ')', 'SKIP', '(', 'p', ',']",0,ngram-around-NI,2030
zeichen-gen2,0,"['NEXT', ':', ')', 'SKIP', '+', 'i', '(']",43,ngram-around-NI,2005
zeichen-gen2,0,"['POKE', ':', 'zs', 'SKIP', '0', '=', 'i']",2047,ngram-around-NI,230
zeichen-gen2,0,"[':', 'zs', '2047', 'SKIP', '=', 'i', 'FOR']",0,ngram-around-NI,230
zeichen-gen2,0,"['zs', 'POKE', ':', 'SKIP', 'TO', '0', '=']",2047,ngram-around-NI,240
zeichen-gen2,0,"[':', '2047', 'TO', 'SKIP', '=', 'i', 'FOR']",0,ngram-around-NI,240
zeichen-gen2,0,"['40', 'GOTO', ':', 'SKIP', 'GOSUB', 'THEN', '""P""']",10000,ngram-around-NI,290
zeichen-gen2,0,"['40', 'GOTO', ':', 'SKIP', 'GOSUB', 'THEN', '""N""']",9000,ngram-around-NI,280
zeichen-gen2,0,"[':', 'cy', 'TO', 'SKIP', '=', 'i', 'FOR']",0,ngram-around-NI,1005
zeichen-gen2,0,"['=', 'j', 'THEN', 'SKIP', '=', 'f', 'IF']",1,ngram-around-NI,1005
zeichen-gen2,0,"['100', 'GOTO', ':', 'SKIP', 'GOSUB', 'THEN', '""t""']",8000,ngram-around-NI,260
zeichen-gen2,0,"[':', 'NEXT', ':', 'SKIP', 'GOSUB', ':', '255']",8000,ngram-around-NI,270
zeichen-gen2,0,"['8000', 'GOSUB', ':', 'SKIP', 'TO', '0', '=']",255,ngram-around-NI,270
zeichen-gen2,0,"[':', '255', 'TO', 'SKIP', '=', 'zn', 'FOR']",0,ngram-around-NI,270
zeichen-gen2,0,"['zs', 'POKE', ':', 'SKIP', ',', '230', '+']",126,ngram-around-NI,37
zeichen-gen2,0,"[':', '126', ',', 'SKIP', '+', 'zs', 'POKE']",230,ngram-around-NI,37
zeichen-gen2,0,"['zs', 'POKE', ':', 'SKIP', ',', '231', '+']",60,ngram-around-NI,37
zeichen-gen2,0,"[':', '60', ',', 'SKIP', '+', 'zs', 'POKE']",231,ngram-around-NI,37
zeichen-gen2,0,"[':', '0', ',', 'SKIP', 'POKE', ':', '0']",5118,ngram-around-NI,38
zeichen-gen2,0,"['5118', 'POKE', ':', 'SKIP', ',', '5117', 'POKE']",0,ngram-around-NI,38
zeichen-gen2,0,"['zs', 'POKE', ':', 'SKIP', ',', '226', '+']",255,ngram-around-NI,36
zeichen-gen2,0,"['POKE', '126', ',', 'SKIP', '+', 'zs', 'POKE']",225,ngram-around-NI,36
zeichen-gen2,0,"['vm', 'POKE', ':', 'SKIP', 'TO', '0', '=']",255,ngram-around-NI,50
zeichen-gen2,0,"[':', '255', 'TO', 'SKIP', '=', 'i', 'FOR']",0,ngram-around-NI,50
zeichen-gen2,0,"[':', '86', ',', 'SKIP', 'POKE', ':', 'RESTORE']",56,ngram-around-NI,11
zeichen-gen2,0,"['=', 'ts', ':', 'SKIP', '=', 'kz', ':']",34816,ngram-around-NI,20
zeichen-gen2,0,"['=', 'kz', ':', 'SKIP', '=', 'oz', ':']",32768,ngram-around-NI,20
zeichen-gen2,0,"['m', 'DIM', ':', 'SKIP', '=', 'fm', ',']",37888,ngram-around-NI,20
zeichen-gen2,0,"['182', 'THEN', 'GOSUB', 'SKIP', ':', 'PRINT#', '4']",9600,ngram-around-NI,9580
zeichen-gen2,0,"['9600', ':', 'PRINT#', 'SKIP', ',', 'CHR$', '(']",4,ngram-around-NI,9580
zeichen-gen2,0,"[',', 'CHR$', '(', 'SKIP', ')', ':', 'CLOSE']",15,ngram-around-NI,9580
zeichen-gen2,0,"[')', ':', 'CLOSE', 'SKIP', ':', 'RETURN', '=']",4,ngram-around-NI,9580
zeichen-gen2,0,"['=', '0', 'TO', 'SKIP', ':', 'PRINT#', '4']",351,ngram-around-NI,9600
zeichen-gen2,0,"['351', ':', 'PRINT#', 'SKIP', ',', 'CHR$', '(']",4,ngram-around-NI,9600
zeichen-gen2,0,"['IF', 'dz', '=', 'SKIP', 'THEN', 'GOSUB', 'dz']",7,ngram-around-NI,9585
zeichen-gen2,0,"['+', 'zx', '*', 'SKIP', '+', 'zy', ')']",22,ngram-around-NI,9540
zeichen-gen2,0,"[':', 'y', '=', 'SKIP', '^', 'dz', ':']",2,ngram-around-NI,9530
zeichen-gen2,0,"['FOR', 'zy', '=', 'SKIP', 'TO', '21', ':']",0,ngram-around-NI,9540
zeichen-gen2,0,"['POKE', 'bz', '+', 'SKIP', '-', 'zt', '=']",1,ngram-around-NI,9555
zeichen-gen2,0,"['FOR', 'i', '=', 'SKIP', 'TO', '0', 'STEP']",7,ngram-around-NI,9550
zeichen-gen2,0,"['IF', 'zt', '<', 'SKIP', '^', 'i', 'THEN']",2,ngram-around-NI,9550
zeichen-gen2,0,"['FOR', 'k', '=', 'SKIP', 'TO', '7', ':']",0,ngram-around-NI,10040
zeichen-gen2,0,"['=', '0', 'TO', 'SKIP', ':', 'PRINT#', 'pg']",7,ngram-around-NI,10040
zeichen-gen2,0,"[',', 'CHR$', '(', 'SKIP', ')', '""{SHIFT--}""', ';']",14,ngram-around-NI,10040
zeichen-gen2,0,"['PRINT#', ':', 'NEXT', 'SKIP', ')', ';', 'CHR$']",14,ngram-around-NI,10030
zeichen-gen2,0,"['0', 'STEP', '-', 'SKIP', ':', 'IF', 'x']",1,ngram-around-NI,10060
