name,game_id,ngram,matched_token,matched_category,line
zeichen-gen2,0,"['13', '=', ')', 'SKIP', ':', '(', 'IF']",a$,ngram-around-VS,4520
zeichen-gen2,0,"['0', '=', '=', 'SKIP', '0', '=', 'cx']",cy,ngram-around-VR,4520
zeichen-gen2,0,"['cy', '0', '=', 'SKIP', ':', '1000', 'GOSUB']",cx,ngram-around-VR,4520
zeichen-gen2,0,"['+', '10', '*', 'SKIP', '=', 'zn', '(']",zn,ngram-around-VR,4030
zeichen-gen2,0,"[':', '45', ',', 'SKIP', '(', '2', ')']",p,ngram-around-VAR,2030
zeichen-gen2,0,"[':', '0', '=', 'SKIP', 'THEN', '255', '>']",zn,ngram-around-VR,4030
zeichen-gen2,0,"['POKE', '8', '*', 'SKIP', '+', 'i', '+']",wz,ngram-around-VR,4600
zeichen-gen2,0,"['*', 'wz', '+', 'SKIP', '+', 'zs', '(']",i,ngram-around-VR,4600
zeichen-gen2,0,"['+', 'i', '+', 'SKIP', '(', 'PEEK', ',']",zs,ngram-around-VR,4600
zeichen-gen2,0,"[',', '8', '*', 'SKIP', '+', 'i', '+']",zn,ngram-around-VR,4600
zeichen-gen2,0,"[')', ')', '(', 'SKIP', ',', '43', 'POKE']",p,ngram-around-VAR,2060
zeichen-gen2,0,"[')', '3', '(', 'SKIP', ',', '46', 'POKE']",p,ngram-around-VAR,2060
zeichen-gen2,0,"['THEN', '""""', '=', 'SKIP', 'IF', ':', 'a$']",a$,ngram-around-VS,4010
zeichen-gen2,0,"[':', '"" ""', '+', 'SKIP', '=', 'na$', 'THEN']",na$,ngram-around-VS,9050
zeichen-gen2,0,"['+', 'na$', '=', 'SKIP', 'THEN', '16', 'GOTO']",na$,ngram-around-VS,9050
zeichen-gen2,0,"['16', 'GOTO', '<', 'SKIP', '(', 'LEN', 'IF']",na$,ngram-around-VS,9050
zeichen-gen2,0,"[':', ')', ')', 'SKIP', ',', 'na$', '(']",i,ngram-around-VR,9060
zeichen-gen2,0,"[')', 'i', ',', 'SKIP', '(', 'MID$', '(']",na$,ngram-around-VS,9060
zeichen-gen2,0,"['(', 'ASC', '=', 'SKIP', ':', '16', 'TO']",x,ngram-around-VR,9060
zeichen-gen2,0,"[':', ')', ':', 'SKIP', 'ps', '(', 'PEEK']",i,ngram-around-VR,9040
zeichen-gen2,0,"[')', ':', 'i', 'SKIP', '(', 'PEEK', '=']",ps,ngram-around-VR,9040
zeichen-gen2,0,"['(', 'PEEK', '=', 'SKIP', ':', '16', 'TO']",x,ngram-around-VR,9040
zeichen-gen2,0,"['16', '>', ')', 'SKIP', '(', 'LEN', 'IF']",na$,ngram-around-VS,9045
zeichen-gen2,0,"['LEN', 'IF', ':', 'SKIP', ';', '""name""', 'INPUT']",na$,ngram-around-VS,9045
zeichen-gen2,0,"[')', '8', '/', 'SKIP', '(', 'INT', '=']",dl,ngram-around-VR,9530
zeichen-gen2,0,"['kl', 'POKE', ':', 'SKIP', ',', 'i', '+']",x,ngram-around-VR,9060
zeichen-gen2,0,"[':', 'x', ',', 'SKIP', '+', 'i', 'ks']",i,ngram-around-VR,9060
zeichen-gen2,0,"[',', 'i', '+', 'SKIP', 'ks', ':', 'x']",i,ngram-around-VR,9060
zeichen-gen2,0,"['i', '+', 'i', 'SKIP', ':', 'x', ',']",ks,ngram-around-VR,9060
zeichen-gen2,0,"['i', 'ks', ':', 'SKIP', ',', 'i', '+']",x,ngram-around-VR,9060
zeichen-gen2,0,"[':', 'x', ',', 'SKIP', '+', 'pl', 'POKE']",i,ngram-around-VR,9060
zeichen-gen2,0,"[',', 'i', '+', 'SKIP', 'POKE', ':', 'POKE']",pl,ngram-around-VR,9060
zeichen-gen2,0,"['*', 'zn', '+', 'SKIP', 'POKE', ':', ')']",ts,ngram-around-VR,8000
zeichen-gen2,0,"['zn', 'PEEK', '=', 'SKIP', ':', '7', 'TO']",x,ngram-around-VR,8000
zeichen-gen2,0,"['RETURN', ':', ')', 'SKIP', ',', 'cx', '(']",cy,ngram-around-VR,7000
zeichen-gen2,0,"['FOR', 'zs', '+', 'SKIP', '+', 'ts', '(']",zn,ngram-around-VR,8000
zeichen-gen2,0,"['+', 'zn', '+', 'SKIP', '(', 'PEEK', ',']",ts,ngram-around-VR,8000
zeichen-gen2,0,"['(', 'PEEK', ',', 'SKIP', '+', '8', '*']",i,ngram-around-VR,8000
zeichen-gen2,0,"['+', '8', '*', 'SKIP', '+', 'zs', 'POKE']",zn,ngram-around-VR,8000
zeichen-gen2,0,"['*', 'zn', '+', 'SKIP', 'POKE', ':', ')']",zs,ngram-around-VR,8000
zeichen-gen2,0,"['POKE', ':', ')', 'SKIP', '+', '8', '*']",i,ngram-around-VR,8000
zeichen-gen2,0,"[')', '2', '+', 'SKIP', '(', 'PEEK', '=']",a,ngram-around-VR,9010
zeichen-gen2,0,"['(', 'PEEK', '=', 'SKIP', ':', '256', '*']",zn,ngram-around-VR,9010
zeichen-gen2,0,"['+', 'a', '=', 'SKIP', 'THEN', '2020', '=']",ps,ngram-around-VR,9020
zeichen-gen2,0,"['(', 'PEEK', ',', 'SKIP', '+', '*', '8']",cy,ngram-around-VR,160
zeichen-gen2,0,"['+', '*', '8', 'SKIP', '+', 'zs', 'POKE']",zn,ngram-around-VR,160
zeichen-gen2,0,"['8', 'zn', '+', 'SKIP', 'POKE', ':', '32']",zs,ngram-around-VR,160
zeichen-gen2,0,"['GOSUB', ':', ')', 'SKIP', '-', '7', '(']",cx,ngram-around-VR,160
zeichen-gen2,0,"['+', '8', '*', 'SKIP', '+', 'zs', '(']",zn,ngram-around-VR,150
zeichen-gen2,0,"['*', 'zn', '+', 'SKIP', '(', 'PEEK', 'cy']",zs,ngram-around-VR,150
zeichen-gen2,0,"['zs', '(', 'PEEK', 'SKIP', ',', '+', '8']",cy,ngram-around-VR,150
zeichen-gen2,0,"['+', '8', '*', 'SKIP', '+', 'zs', 'POKE']",zn,ngram-around-VR,150
zeichen-gen2,0,"['*', 'zn', '+', 'SKIP', 'POKE', ':', 'cy']",zs,ngram-around-VR,150
zeichen-gen2,0,"['zs', 'POKE', ':', 'SKIP', ')', 'OR', '2']",cy,ngram-around-VR,150
zeichen-gen2,0,"[':', '1', '=', 'SKIP', 'THEN', '""w""', '=']",f,ngram-around-VR,160
zeichen-gen2,0,"['GOSUB', ':', ')', 'SKIP', '-', '7', '(']",cx,ngram-around-VR,150
zeichen-gen2,0,"[':', '0', ',', 'SKIP', 'POKE', ':', 'f']",i,ngram-around-VR,212
zeichen-gen2,0,"['58', '<', ')', 'SKIP', '(', 'ASC', 'AND']",a$,ngram-around-VS,220
zeichen-gen2,0,"['47', '>', ')', 'SKIP', '(', 'ASC', 'IF']",a$,ngram-around-VS,220
zeichen-gen2,0,"['THEN', '""""', '=', 'SKIP', 'IF', ':', 'a$']",a$,ngram-around-VS,104
zeichen-gen2,0,"['6', '2', '+', 'SKIP', '+', '22', '*']",cx,ngram-around-VR,103
zeichen-gen2,0,"[':', '1', '-', 'SKIP', '=', 'cy', ':']",cy,ngram-around-VR,110
zeichen-gen2,0,"['-', 'cy', '=', 'SKIP', ':', '1', '=']",cy,ngram-around-VR,110
zeichen-gen2,0,"[':', '1', '=', 'SKIP', 'THEN', '""i""', '=']",f,ngram-around-VR,110
zeichen-gen2,0,"['fm', 'POKE', ':', 'SKIP', ',', '2', '+']",cz,ngram-around-VR,103
zeichen-gen2,0,"[',', '2', '+', 'SKIP', '+', '22', '*']",cx,ngram-around-VR,103
zeichen-gen2,0,"[')', '14', '+', 'SKIP', '(', '+', 'vm']",cy,ngram-around-VR,103
zeichen-gen2,0,"[':', '1', '+', 'SKIP', '=', 'cy', ':']",cy,ngram-around-VR,140
zeichen-gen2,0,"['+', 'cy', '=', 'SKIP', ':', '1', 'IF']",cy,ngram-around-VR,140
zeichen-gen2,0,"[',', 'cx', '(', 'SKIP', ':', '1', '=']",m,ngram-around-VAR,150
zeichen-gen2,0,"[':', '1', '=', 'SKIP', 'THEN', '""q""', '=']",f,ngram-around-VR,150
