ngram,matched_token,matched_category,line,name,game_id
"['DIM', 'z$', '(', '7', ',', '13', ')']",(,punctuation,5,spukhaus3,5
"['z$', '(', '7', ',', '13', ')', 'REM', 'DATA']",",",punctuation,5,spukhaus3,5
"['7', ',', '13', ')', 'REM', 'DATA', '77', ',']",),punctuation,5,spukhaus3,5
"['POKE', '36869', ',', '205', ':', 'POKE', '36879']",",",punctuation,20,spukhaus3,5
"['36869', ',', '205', ':', 'POKE', '36879', ',', '127']",:,punctuation,20,spukhaus3,5
"[':', 'POKE', '36879', ',', '127', ':', 'li', '=']",",",punctuation,20,spukhaus3,5
"['36879', ',', '127', ':', 'li', '=', '0', ':']",:,punctuation,20,spukhaus3,5
"['li', '=', '0', ':', 'POKE', '650', ',', '0']",:,punctuation,20,spukhaus3,5
"[':', 'POKE', '650', ',', '0', 'zs', '=', '5120']",",",punctuation,20,spukhaus3,5
"['yy', '=', 'INT', '(', 'RND', '(', '1', ')']",(,punctuation,35,spukhaus3,5
"['INT', '(', 'RND', '(', '1', ')', '*', '3']",(,punctuation,35,spukhaus3,5
"['RND', '(', '1', ')', '*', '3', ')', '+']",),punctuation,35,spukhaus3,5
"[')', '*', '3', ')', '+', '1', 'PRINT', 'IF']",),punctuation,35,spukhaus3,5
"['ti$', '=', '""000000""', ':', 'ze', '=', '14', ':']",:,punctuation,50,spukhaus3,5
"['ze', '=', '14', ':', 'zn', '=', 'ze', '+']",:,punctuation,50,spukhaus3,5
"['ze', '+', '6', ':', 'gz', '=', '30', 'FOR']",:,punctuation,50,spukhaus3,5
"['zi', '=', '1', ':', 'GOSUB', '45000', 'PRINT', '""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}  12345678{up}""']",:,punctuation,1000,spukhaus3,5
"['THEN', 'PRINT', 'q$', ';', '""{rvs_on}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{right}{right}{right}{SHIFT-POUND}""', 'PRINT', ':', 'FOR']",;,punctuation,1010,spukhaus3,5
"['THEN', 'PRINT', 'q$', ';', '""{rvs_on}{red}{up}{up}{up}{up}{up}{right}{right}{right}{right}{right}{right}{right}{CBM-M}""', 'p', '=', 'PEEK']",;,punctuation,1020,spukhaus3,5
"['1', 'TO', '2000', ':', 'NEXT', ':', 'GOSUB', '49000']",:,punctuation,1047,spukhaus3,5
"['2000', ':', 'NEXT', ':', 'GOSUB', '49000']",:,punctuation,1047,spukhaus3,5
"['GOSUB', '49000', ':', 'GOSUB', '14000', 'PRINT', '""{right}{right}{right}{right}{right}____________""']",:,punctuation,1055,spukhaus3,5
"['yy', 'GOTO', '3000', ',', '2000', ',', '7000', 'RETURN']",",",punctuation,1060,spukhaus3,5
"['3000', ',', '2000', ',', '7000', 'RETURN', 'o', '=']",",",punctuation,1060,spukhaus3,5
"['THEN', 'GOSUB', '40100', ':', 'h', '=', '1', 'PRINT']",:,punctuation,1065,spukhaus3,5
"['THEN', 'GOSUB', '40000', ':', 'h', '=', '1', 'IF']",:,punctuation,1070,spukhaus3,5
"['yy', 'GOTO', '8000', ',', '4000', ',', '6000', 'PRINT']",",",punctuation,1075,spukhaus3,5
"['8000', ',', '4000', ',', '6000', 'PRINT', '""{right}{right}{right}________________""', 'PRINT']",",",punctuation,1075,spukhaus3,5
